move_id	name	type	category	power	accuracy	pp	priority	secondary_chance	target	tm_slot	tm_number	tutor_slot	is_placeholder	source_record	confidence	description
18	Whirlwind	Normal	Status	0	0	5	250	0	0	NA	NA	NA	FALSE	data.js:moves[18]	Measured	The foe is made to switch out with an ally. In the wild, the battle ends.
19	Fly	Flying	Physical	90	100	15	0	0	0	121	122	NA	FALSE	data.js:moves[19]	Measured	A 2-turn move that hits on the 2nd turn. Use it to fly to any known town.
20	Bind	Normal	Physical	15	85	20	0	100	0	NA	NA	NA	FALSE	data.js:moves[20]	Measured	A long body or tentacles are used to bind the foe for two to five turns.
21	Slam	Normal	Physical	80	100	20	0	0	0	NA	NA	NA	FALSE	data.js:moves[21]	Measured	The foe is struck with a long tail, vines, etc.
22	Vine Whip	Grass	Physical	45	100	25	0	0	0	NA	NA	NA	FALSE	data.js:moves[22]	Measured	The foe is struck with slender, whip- like vines.
23	Stomp	Normal	Physical	65	100	20	0	30	0	NA	NA	NA	FALSE	data.js:moves[23]	Measured	The foe is stomped with a big foot. It may make the foe flinch.
24	Double Kick	Fighting	Physical	30	100	30	0	0	0	NA	NA	NA	FALSE	data.js:moves[24]	Measured	Two legs are used to quickly kick the foe twice in one turn.
25	Mega Kick	Normal	Physical	120	75	5	0	0	0	NA	NA	NA	FALSE	data.js:moves[25]	Measured	The foe is attacked by a kick fired with muscle-packed power.
26	Jump Kick	Fighting	Physical	100	95	10	0	0	0	NA	NA	NA	FALSE	data.js:moves[26]	Measured	The user jumps up high, then kicks. If it misses, the user hurts itself.
27	Rolling Kick	Fighting	Physical	60	85	15	0	30	0	NA	NA	NA	FALSE	data.js:moves[27]	Measured	A quick kick from a rolling spin. It may make the foe flinch.
28	Sand Attack	Ground	Status	0	100	15	0	0	0	NA	NA	NA	FALSE	data.js:moves[28]	Measured	The user throw sand at the foe, lowering its Attack.
29	Headbutt	Normal	Physical	70	100	15	0	30	0	NA	NA	NA	FALSE	data.js:moves[29]	Measured	The user sticks its head out and rams. It may make the foe flinch.
30	Horn Attack	Normal	Physical	65	100	25	0	0	0	NA	NA	NA	FALSE	data.js:moves[30]	Measured	The foe is jabbed with a sharply pointed horn to inflict damage.
31	Fury Attack	Normal	Physical	20	100	20	0	0	0	NA	NA	NA	FALSE	data.js:moves[31]	Measured	The foe is jabbed repeatedly with a horn or beak two to five times.
32	Horn Drill	Normal	Physical	1	30	5	0	0	0	NA	NA	NA	FALSE	data.js:moves[32]	Measured	The horn is rotated like a drill to ram. The foe will faint if it hits.
33	Tackle	Normal	Physical	40	100	35	0	0	0	NA	NA	NA	FALSE	data.js:moves[33]	Measured	A physical attack in which the user charges, full body, into the foe.
34	Body Slam	Normal	Physical	85	100	15	0	30	0	NA	NA	91	FALSE	data.js:moves[34]	Measured	The user drops its full body on the foe. It may leave the foe paralyzed.
35	Wrap	Normal	Physical	15	90	20	0	100	0	NA	NA	NA	FALSE	data.js:moves[35]	Measured	A long body or vines are used to wrap the foe for two to five turns.
36	Take Down	Normal	Physical	90	100	20	0	0	0	NA	NA	NA	FALSE	data.js:moves[36]	Measured	A reckless, full- body charge attack that also hurts the user a little.
37	Thrash	Normal	Physical	120	100	10	0	100	4	NA	NA	NA	FALSE	data.js:moves[37]	Measured	The user rampages about for two to three turns, then becomes confused.
38	Double-Edge	Normal	Physical	120	100	15	0	0	0	NA	NA	NA	FALSE	data.js:moves[38]	Measured	A reckless, life- risking tackle that also hurts the user a little.
39	Tail Whip	Normal	Status	0	100	30	0	0	8	NA	NA	NA	FALSE	data.js:moves[39]	Measured	The user wags its tail cutely, making the foe lower its Defense stat.
40	Poison Sting	Poison	Physical	15	100	35	0	30	0	NA	NA	NA	FALSE	data.js:moves[40]	Measured	The foe is stabbed with a toxic barb, etc. It may poison the foe.
41	Twineedle	Bug	Physical	25	100	20	0	20	0	NA	NA	NA	FALSE	data.js:moves[41]	Measured	The foe is stabbed twice with foreleg stingers. It may poison the foe.
42	Pin Missile	Bug	Physical	25	100	20	0	0	0	NA	NA	84	FALSE	data.js:moves[42]	Measured	Sharp pins are shot at the foe and hit two to five times at once.
43	Leer	Normal	Status	0	100	30	0	0	8	NA	NA	NA	FALSE	data.js:moves[43]	Measured	The foe is given an intimidating look that lowers its Defense stat.
44	Bite	Dark	Physical	60	100	25	0	30	0	NA	NA	NA	FALSE	data.js:moves[44]	Measured	The user bites with vicious fangs. It may make the foe flinch.
45	Growl	Normal	Status	0	100	15	0	0	8	NA	NA	NA	FALSE	data.js:moves[45]	Measured	The user growls in a cute way, making the foe lower its Attack stat.
46	Roar	Normal	Status	0	0	5	250	0	0	4	5	NA	FALSE	data.js:moves[46]	Measured	The foe is made to switch out with an ally. In the wild, the battle ends.
47	Sing	Normal	Status	0	55	15	0	0	0	NA	NA	NA	FALSE	data.js:moves[47]	Measured	A soothing song in a calming voice lulls the foe into a deep slumber.
48	Supersonic	Normal	Status	0	55	20	0	0	0	NA	NA	NA	FALSE	data.js:moves[48]	Measured	The user generates odd sound waves. It may confuse the foe.
49	Sonic Boom	Normal	Special	1	90	20	0	0	0	NA	NA	NA	FALSE	data.js:moves[49]	Measured	The foe is hit with a shock wave that always inflicts 20- HP damage.
50	Disable	Normal	Status	0	100	20	0	0	0	NA	NA	NA	FALSE	data.js:moves[50]	Measured	For a few turns, it prevents the foe from using the move it last used.
51	Acid	Poison	Special	40	100	30	0	10	8	NA	NA	NA	FALSE	data.js:moves[51]	Measured	The foe is sprayed with a harsh, hide- melting acid that may lower Defense.
52	Ember	Fire	Special	40	100	25	0	10	0	NA	NA	NA	FALSE	data.js:moves[52]	Measured	The foe is attacked with small flames. The foe may suffer a burn.
53	Flamethrower	Fire	Special	90	100	15	0	10	0	34	35	NA	FALSE	data.js:moves[53]	Measured	The foe is scorched with intense flames. The foe may suffer a burn.
54	Mist	Ice	Status	0	0	30	0	0	16	NA	NA	NA	FALSE	data.js:moves[54]	Measured	The ally party is protected by a mist that prevents stat reductions.
55	Water Gun	Water	Special	40	100	25	0	0	0	NA	NA	NA	FALSE	data.js:moves[55]	Measured	The foe is struck with a lot of water expelled forcibly from the mouth.
56	Hydro Pump	Water	Special	110	80	5	0	0	0	17	18	NA	FALSE	data.js:moves[56]	Measured	A high volume of water is blasted at the foe under great pressure.
57	Surf	Water	Special	90	100	15	0	0	32	122	123	NA	FALSE	data.js:moves[57]	Measured	A big wave crashes down on the foe. Can also be used for crossing water.
58	Ice Beam	Ice	Special	90	100	10	0	10	0	12	13	NA	FALSE	data.js:moves[58]	Measured	The foe is struck with an icy beam. It may leave the target frostbitten. 
59	Blizzard	Ice	Special	110	70	5	0	10	8	13	14	NA	FALSE	data.js:moves[59]	Measured	The foe is blasted with a blizzard. It may leave the target frostbitten.
60	Psybeam	Psychic	Special	65	100	20	0	10	0	NA	NA	NA	FALSE	data.js:moves[60]	Measured	A peculiar ray is shot at the foe. It may leave the foe confused.
61	Bubble Beam	Water	Special	65	100	20	0	10	0	NA	NA	NA	FALSE	data.js:moves[61]	Measured	A spray of bubbles strikes the foe. It may lower the foe's Speed stat.
62	Aurora Beam	Ice	Special	65	100	20	0	10	0	NA	NA	NA	FALSE	data.js:moves[62]	Measured	A rainbow-colored attack beam. It may lower the foe's Attack stat.
63	Hyper Beam	Normal	Special	150	100	5	0	0	0	NA	NA	NA	FALSE	data.js:moves[63]	Measured	A severely damaging attack that makes the user rest on the next turn.
64	Peck	Flying	Physical	35	100	35	0	0	0	NA	NA	NA	FALSE	data.js:moves[64]	Measured	The foe is jabbed with a sharply pointed beak or horn.
65	Drill Peck	Flying	Physical	80	100	20	0	0	0	NA	NA	NA	FALSE	data.js:moves[65]	Measured	A corkscrewing attack with the sharp beak acting as a drill.
66	Submission	Fighting	Physical	80	100	20	0	0	0	NA	NA	NA	FALSE	data.js:moves[66]	Measured	A reckless, full- body throw attack that also hurts the user a little.
67	Low Kick	Fighting	Physical	1	100	20	0	0	0	39	40	NA	FALSE	data.js:moves[67]	Measured	A low, tripping kick that inflicts more damage on heavier foes.
68	Counter	Fighting	Physical	1	100	20	251	0	1	NA	NA	NA	FALSE	data.js:moves[68]	Measured	A retaliation move that counters any physical hit with double the damage.
69	Seismic Toss	Fighting	Physical	1	100	20	0	0	0	NA	NA	NA	FALSE	data.js:moves[69]	Measured	A gravity-fed throw that causes damage matching the user's level.
70	Strength	Normal	Physical	80	100	15	0	0	0	123	124	NA	FALSE	data.js:moves[70]	Measured	The foe is slugged at maximum power. Can also be used to move boulders.
71	Absorb	Grass	Special	25	100	25	0	0	0	NA	NA	NA	FALSE	data.js:moves[71]	Measured	An attack that absorbs half the damage it inflicted to restore HP.
72	Mega Drain	Grass	Special	60	100	15	0	0	0	NA	NA	NA	FALSE	data.js:moves[72]	Measured	A tough attack that drains half the damage it inflicted to restore HP.
73	Leech Seed	Grass	Status	0	90	10	0	0	0	NA	NA	NA	FALSE	data.js:moves[73]	Measured	A seed is planted on the foe to steal some HP for the  user on every turn.
74	Growth	Normal	Status	0	0	20	0	0	16	NA	NA	NA	FALSE	data.js:moves[74]	Measured	The user's body is forced to grow, raising the Sp. Atk stat.
75	Razor Leaf	Grass	Physical	55	100	25	0	0	8	NA	NA	NA	FALSE	data.js:moves[75]	Measured	The foe is hit with a cutting leaf. It has a high critical-hit ratio.
76	Solar Beam	Grass	Special	120	100	10	0	0	0	NA	NA	101	FALSE	data.js:moves[76]	Measured	A 2-turn move that blasts the foe with absorbed energy in the 2nd turn.
77	Poison Powder	Poison	Status	0	75	35	0	0	0	NA	NA	NA	FALSE	data.js:moves[77]	Measured	A cloud of toxic dust is scattered. It may poison the foe.
78	Stun Spore	Grass	Status	0	75	30	0	0	0	NA	NA	NA	FALSE	data.js:moves[78]	Measured	Paralyzing dust is scattered wildly. It may paralyze the foe.
79	Sleep Powder	Grass	Status	0	75	15	0	0	0	NA	NA	NA	FALSE	data.js:moves[79]	Measured	A sleep-inducing dust is scattered in high volume around a foe.
80	Petal Dance	Grass	Special	120	100	10	0	100	4	NA	NA	NA	FALSE	data.js:moves[80]	Measured	The user attacks with petals for two to three turns, then gets confused.
81	String Shot	Bug	Status	0	95	40	0	0	8	NA	NA	NA	FALSE	data.js:moves[81]	Measured	The foe is bound with strings shot from the mouth to reduce its Speed.
82	Dragon Rage	Dragon	Special	1	100	10	0	0	0	NA	NA	NA	FALSE	data.js:moves[82]	Measured	The foe is hit with a shock wave that always inflicts 40- HP damage.
83	Fire Spin	Fire	Special	35	85	15	0	100	0	NA	NA	NA	FALSE	data.js:moves[83]	Measured	The foe is trapped in an intense spiral of fire that rages two to five turns.
84	Thunder Shock	Electric	Special	40	100	30	0	10	0	NA	NA	NA	FALSE	data.js:moves[84]	Measured	An electric shock attack that may also leave the foe paralyzed.
85	Thunderbolt	Electric	Special	90	100	15	0	10	0	23	24	NA	FALSE	data.js:moves[85]	Measured	A strong electrical attack that may also leave the foe paralyzed.
86	Thunder Wave	Electric	Status	0	90	20	0	0	0	72	73	NA	FALSE	data.js:moves[86]	Measured	An electric shock that causes paralysis. Can't miss if the user is Electric-type.
87	Thunder	Electric	Special	110	70	10	0	30	0	24	25	NA	FALSE	data.js:moves[87]	Measured	A brutal lightning attack that may also leave the foe paralyzed.
88	Rock Throw	Rock	Physical	50	100	15	0	0	0	NA	NA	NA	FALSE	data.js:moves[88]	Measured	The foe is attacked with a shower of small, easily thrown rocks.
89	Earthquake	Ground	Physical	100	100	10	0	0	32	25	26	NA	FALSE	data.js:moves[89]	Measured	An earthquake that strikes all Pokemon in battle excluding the user.
90	Soul Robbery	Psychic	Special	100	100	5	0	0	0	NA	NA	NA	FALSE	data.js:moves[90]	Measured	The user consumes the target's soul, stealing the target's stat boosts, and then attacks.
91	Dig	Ground	Physical	80	100	10	0	0	0	27	28	NA	FALSE	data.js:moves[91]	Measured	An attack that hits on the 2nd turn. Can also be used to exit dungeons.
92	Toxic	Poison	Status	0	90	10	0	0	0	5	6	NA	FALSE	data.js:moves[92]	Measured	A move that badly poisons the foe. Can't miss if the user is Poison-type.
93	Confusion	Psychic	Special	50	100	25	0	10	0	NA	NA	NA	FALSE	data.js:moves[93]	Measured	A weak telekinetic attack that may also leave the foe confused.
94	Psychic	Psychic	Special	90	100	10	0	10	0	28	29	NA	FALSE	data.js:moves[94]	Measured	A strong telekinetic attack. It may also lower the foe's Sp. Def stat.
95	Hypnosis	Psychic	Status	0	60	20	0	0	0	NA	NA	NA	FALSE	data.js:moves[95]	Measured	Hypnotic suggestion is used to make the foe fall into a deep sleep.
96	Meditate	Psychic	Status	0	0	40	0	0	16	NA	NA	NA	FALSE	data.js:moves[96]	Measured	The user meditates to awaken its power and raise its Attack stat.
97	Agility	Psychic	Status	0	0	30	0	0	16	NA	NA	NA	FALSE	data.js:moves[97]	Measured	The user relaxes and lightens its body to sharply boost its Speed.
98	Quick Attack	Normal	Physical	40	100	30	1	0	0	NA	NA	NA	FALSE	data.js:moves[98]	Measured	An almost invisibly fast attack that is certain to strike first.
99	Rage	Normal	Physical	20	100	20	0	100	0	NA	NA	NA	FALSE	data.js:moves[99]	Measured	An attack that becomes stronger each time the user is hit in battle.
100	Teleport	Psychic	Status	0	0	20	250	0	16	33	34	NA	FALSE	data.js:moves[100]	Measured	Use it to flee from any wild Pokemon. Also warps to the last Poke Center.
101	Night Shade	Ghost	Special	1	100	15	0	0	0	NA	NA	NA	FALSE	data.js:moves[101]	Measured	An attack with a mirage that inflicts damage matching the user's level.
102	Mimic	Normal	Status	0	0	10	0	0	0	NA	NA	NA	FALSE	data.js:moves[102]	Measured	The user copies the move last used by the foe for the rest of the battle.
103	Screech	Normal	Status	0	85	40	0	0	0	NA	NA	NA	FALSE	data.js:moves[103]	Measured	An ear-splitting screech is emitted to sharply reduce the foe's Defense.
104	Double Team	Normal	Status	0	0	15	0	0	16	NA	NA	NA	FALSE	data.js:moves[104]	Measured	The user creates illusory copies of itself to raise its evasiveness.
105	Recover	Normal	Status	0	0	5	0	0	16	NA	NA	NA	FALSE	data.js:moves[105]	Measured	A self-healing move that restores HP by up to half of the user's maximum HP.
106	Harden	Normal	Status	0	0	30	0	0	16	NA	NA	NA	FALSE	data.js:moves[106]	Measured	The user stiffens all the muscles in its body to raise its Defense stat.
107	Minimize	Normal	Status	0	0	10	0	0	16	NA	NA	NA	FALSE	data.js:moves[107]	Measured	The user compresses all the cells in its body to raise its evasiveness.
108	Smokescreen	Normal	Status	0	100	10	0	0	0	NA	NA	NA	FALSE	data.js:moves[108]	Measured	The user throws smoke at the foe, lowering its Attack. 
109	Confuse Ray	Ghost	Status	0	100	10	0	0	0	NA	NA	NA	FALSE	data.js:moves[109]	Measured	The foe is exposed to a sinister ray that triggers confusion.
110	Withdraw	Water	Status	0	0	40	0	0	16	NA	NA	NA	FALSE	data.js:moves[110]	Measured	The user withdraws its body in its hard shell, raising its Defense stat.
111	Defense Curl	Normal	Status	0	0	40	0	0	16	NA	NA	NA	FALSE	data.js:moves[111]	Measured	The user curls up to conceal weak spots and raise its Defense stat.
112	Barrier	Psychic	Status	0	0	20	0	0	16	NA	NA	NA	FALSE	data.js:moves[112]	Measured	The user creates a sturdy wall that sharply raises its Defense stat.
113	Light Screen	Psychic	Status	0	0	30	0	0	16	15	16	NA	FALSE	data.js:moves[113]	Measured	A wall of light cuts damage from Sp. Atk attacks for five turns.
114	Haze	Ice	Status	0	0	5	0	0	16	NA	NA	NA	FALSE	data.js:moves[114]	Measured	Eliminates all stat changes among all Pokemon engaged in battle.
115	Reflect	Psychic	Status	0	0	20	0	0	16	32	33	NA	FALSE	data.js:moves[115]	Measured	A wall of light cuts damage from physical attacks for five turns.
116	Focus Energy	Normal	Status	0	0	30	0	0	16	NA	NA	NA	FALSE	data.js:moves[116]	Measured	The user takes a deep breath and focuses to raise its critical-hit ratio.
117	Bide	Normal	Physical	1	0	10	1	0	16	NA	NA	NA	FALSE	data.js:moves[117]	Measured	The user endures attacks for two turns, then strikes back double.
118	Metronome	Normal	Status	0	0	30	0	0	1	NA	NA	NA	FALSE	data.js:moves[118]	Measured	Waggles a finger and stimulates the brain into using any move at random.
119	Mirror Move	Flying	Status	0	0	20	0	0	0	NA	NA	NA	FALSE	data.js:moves[119]	Measured	The user counters the move last used by the foe with the same move.
120	Self-Destruct	Normal	Physical	100	100	5	0	0	32	NA	NA	NA	FALSE	data.js:moves[120]	Measured	The user blows up to inflict severe damage, even making itself faint.
121	Egg Bomb	Normal	Physical	100	75	10	0	0	0	NA	NA	NA	FALSE	data.js:moves[121]	Measured	A large egg is hurled with great force at the foe to inflict damage.
122	Lick	Ghost	Physical	30	100	30	0	30	0	NA	NA	NA	FALSE	data.js:moves[122]	Measured	The foe is licked and hit with a long tongue. It may also paralyze.
123	Smog	Poison	Special	30	70	20	0	40	0	NA	NA	NA	FALSE	data.js:moves[123]	Measured	The foe is attacked with exhaust gases. It may also poison the foe.
124	Sludge	Poison	Special	65	100	20	0	30	0	NA	NA	NA	FALSE	data.js:moves[124]	Measured	Toxic sludge is hurled at the foe. It may poison the target.
125	Bone Club	Ground	Physical	65	85	20	0	10	0	NA	NA	NA	FALSE	data.js:moves[125]	Measured	The foe is clubbed with a bone held in hand. It may make the foe flinch.
126	Fire Blast	Fire	Special	110	85	5	0	10	0	37	38	NA	FALSE	data.js:moves[126]	Measured	The foe is hit with an intense flame. It may leave the target with a burn.
127	Waterfall	Water	Physical	80	100	15	0	20	0	126	127	NA	FALSE	data.js:moves[127]	Measured	A powerful charge attack that can flinch. It can be used to climb water- falls.
128	Clamp	Water	Physical	35	85	15	0	100	0	NA	NA	NA	FALSE	data.js:moves[128]	Measured	The foe is clamped and squeezed by the user's shell for two to five turns.
129	Swift	Normal	Special	60	0	20	0	0	8	NA	NA	NA	FALSE	data.js:moves[129]	Measured	Star-shaped rays that never miss are fired at all foes in battle.
130	Skull Bash	Normal	Physical	130	100	10	0	0	0	NA	NA	NA	FALSE	data.js:moves[130]	Measured	The user raises its Defense and Attack in the 1st turn, then attacks in the 2nd turn. 
131	Spike Cannon	Normal	Physical	20	100	15	0	0	0	NA	NA	NA	FALSE	data.js:moves[131]	Measured	Sharp spikes are fired at the foe to strike two to five times.
132	Constrict	Normal	Physical	10	100	35	0	10	0	NA	NA	NA	FALSE	data.js:moves[132]	Measured	The foe is attacked with long tentacles or vines. It may lower Speed.
133	Amnesia	Psychic	Status	0	0	20	0	0	16	NA	NA	NA	FALSE	data.js:moves[133]	Measured	Forgets about something and sharply raises Sp. Def.
134	Kinesis	Psychic	Status	0	80	15	0	0	0	NA	NA	NA	FALSE	data.js:moves[134]	Measured	The user distracts the foe by bending a spoon. It may lower accuracy.
135	Soft-Boiled	Normal	Status	0	0	5	0	0	16	NA	NA	NA	FALSE	data.js:moves[135]	Measured	Heals the user by up to half its full HP. It can be used to heal an ally.
136	High Jump Kick	Fighting	Physical	130	90	10	0	0	0	NA	NA	NA	FALSE	data.js:moves[136]	Measured	A strong jumping knee kick. If it misses, the user is hurt.
137	Glare	Normal	Status	0	100	30	0	0	0	NA	NA	NA	FALSE	data.js:moves[137]	Measured	The user intimidates the foe with the design on its belly to cause paralysis.
138	Dream Eater	Psychic	Special	100	100	15	0	0	0	NA	NA	NA	FALSE	data.js:moves[138]	Measured	Absorbs half the damage it inflicted on a sleeping foe to restore HP.
139	Poison Gas	Poison	Status	0	90	40	0	0	8	NA	NA	NA	FALSE	data.js:moves[139]	Measured	The foe is sprayed with a cloud of toxic gas that may poison the foe.
140	Barrage	Normal	Physical	15	85	20	0	0	0	NA	NA	NA	FALSE	data.js:moves[140]	Measured	Round objects are hurled at the foe to strike two to five times.
141	Leech Life	Bug	Physical	80	100	15	0	0	0	48	49	NA	FALSE	data.js:moves[141]	Measured	An attack that absorbs half the damage it inflicted to restore HP.
142	Lovely Kiss	Normal	Status	0	85	10	0	0	0	NA	NA	NA	FALSE	data.js:moves[142]	Measured	The user forces a kiss on the foe with a scary face that induces sleep.
143	Sky Attack	Flying	Physical	140	90	5	0	30	0	NA	NA	NA	FALSE	data.js:moves[143]	Measured	A 2nd-turn attack move with a high critical-hit ratio. The foe may flinch.
144	Transform	Normal	Status	0	0	10	0	0	0	NA	NA	NA	FALSE	data.js:moves[144]	Measured	The user transforms into a copy of the foe with even the same move set.
145	Bubble	Water	Special	40	100	30	0	10	8	NA	NA	NA	FALSE	data.js:moves[145]	Measured	A spray of bubbles hits the foe. It may lower the foe's Speed stat.
146	Dizzy Punch	Normal	Physical	70	100	10	0	20	0	NA	NA	NA	FALSE	data.js:moves[146]	Measured	The foe is hit with a rhythmic punch that may leave it confused.
147	Spore	Grass	Status	0	100	15	0	0	0	NA	NA	NA	FALSE	data.js:moves[147]	Measured	The user scatters bursts of fine spores that induce sleep.
148	Flash	Electric	Special	60	100	10	0	50	0	124	125	NA	FALSE	data.js:moves[148]	Measured	The user flashes a bright light, which lowers its Attack. 
149	Psywave	Psychic	Special	1	100	15	0	0	0	NA	NA	NA	FALSE	data.js:moves[149]	Measured	The foe is attacked with an odd, hot energy wave that varies in intensity.
150	Splash	Normal	Status	0	0	40	0	0	16	NA	NA	NA	FALSE	data.js:moves[150]	Measured	The user just flops and splashes around without having any effect.
151	Acid Armor	Poison	Status	0	0	20	0	0	16	NA	NA	NA	FALSE	data.js:moves[151]	Measured	The user alters its cells to liquefy itself and sharply raise Defense.
152	Crabhammer	Water	Physical	100	90	10	0	0	0	NA	NA	NA	FALSE	data.js:moves[152]	Measured	A large pincer is used to hammer the foe. It has a high critical-hit ratio.
153	Explosion	Normal	Physical	150	100	5	0	0	32	63	64	NA	FALSE	data.js:moves[153]	Measured	The user explodes to inflict terrible damage even while fainting itself.
154	Fury Swipes	Normal	Physical	18	100	15	0	0	0	NA	NA	NA	FALSE	data.js:moves[154]	Measured	The foe is raked with sharp claws or scythes two to five times.
155	Bonemerang	Ground	Physical	50	100	10	0	0	0	NA	NA	NA	FALSE	data.js:moves[155]	Measured	The user throws a bone that hits the foe once, then once again on return.
156	Rest	Psychic	Status	0	0	5	0	0	16	43	44	NA	FALSE	data.js:moves[156]	Measured	The user sleeps for two turns to fully restore HP and heal any status problem.
157	Rock Slide	Rock	Physical	75	100	10	0	20	8	79	80	NA	FALSE	data.js:moves[157]	Measured	Large boulders are hurled at the foe. It may make the foe flinch.
158	Hyper Fang	Normal	Physical	80	100	15	0	10	0	NA	NA	NA	FALSE	data.js:moves[158]	Measured	The foe is attacked with sharp fangs. It may make the foe flinch.
159	Sharpen	Normal	Status	0	0	30	0	0	16	NA	NA	NA	FALSE	data.js:moves[159]	Measured	The user reduces its polygon count to sharpen edges and raise Attack.
160	Dark Hole	Dark	Special	100	100	5	0	40	0	NA	NA	8	FALSE	data.js:moves[160]	Measured	The user sends the foe to the shadow realm. It may cause sleep.
161	Tri Attack	Normal	Special	90	100	10	0	20	0	NA	NA	NA	FALSE	data.js:moves[161]	Measured	A simultaneous 3-beam attack that may paralyze, burn, or freeze the foe.
162	Super Fang	Normal	Physical	1	90	10	0	0	0	NA	NA	NA	FALSE	data.js:moves[162]	Measured	The user attacks with sharp fangs and halves the foe's HP.
163	Slash	Normal	Physical	70	100	20	0	0	0	NA	NA	NA	FALSE	data.js:moves[163]	Measured	The foe is slashed with claws, etc. It has a high critical-hit ratio.
164	Substitute	Normal	Status	0	0	10	0	0	16	NA	NA	74	FALSE	data.js:moves[164]	Measured	The user creates a decoy using one- quarter of its full HP.
165	Struggle	UNK-type9	Physical	50	0	1	0	0	4	NA	NA	NA	FALSE	data.js:moves[165]	Measured	An attack that is used only if there is no PP. It also hurts the user.
166	Sketch	Normal	Status	0	0	1	0	0	0	NA	NA	NA	FALSE	data.js:moves[166]	Measured	This move copies the move last used by the foe, then disappears.
167	Triple Kick	Fighting	Physical	20	90	10	0	0	0	NA	NA	NA	FALSE	data.js:moves[167]	Measured	A 3-kick attack that becomes more powerful with each successive hit.
168	Thief	Dark	Physical	60	100	25	0	100	0	45	46	NA	FALSE	data.js:moves[168]	Measured	An attack that may take the foe's held item if the user isn't holding one.
169	Spider Web	Bug	Status	0	0	10	0	0	0	NA	NA	NA	FALSE	data.js:moves[169]	Measured	Ensnares the foe  with sticky string so it doesn't flee or switch out.
170	Mind Reader	Normal	Status	0	0	5	0	0	0	NA	NA	NA	FALSE	data.js:moves[170]	Measured	The user predicts the foe's action to ensure its next attack hits.
171	Nightmare	Ghost	Status	0	100	15	0	0	0	NA	NA	NA	FALSE	data.js:moves[171]	Measured	A sleeping foe is shown a nightmare that inflicts some damage every turn.
172	Flame Wheel	Fire	Physical	60	100	25	0	10	0	NA	NA	NA	FALSE	data.js:moves[172]	Measured	The user makes a fiery charge at the foe. It may cause a burn.
173	Snore	Normal	Special	50	100	15	0	30	0	NA	NA	NA	FALSE	data.js:moves[173]	Measured	An attack that can be used only while asleep. It may cause flinching.
