dex_number	internal_id	species_name	form_name	form_type	lineage_id	evo_stage	form_key	sprite_key	evolves_from	evolves_into	evo_method_id	evo_method_text	evo_param	evo_param_item	evo_item_obtainable	type_1	type_2	hp	atk	def	spa	spd	spe	bst	ability_1	ability_2	ability_hidden	levelup_moves	tm_moves	tutor_moves	egg_moves	egg_groups	held_items	availability	earliest_gate	earliest_gate_name	earliest_level	earliest_gate_basis	is_starter	starter_reobtainable	wild_obtainable	one_time_only	missable	source_record	confidence	notes
11	11	Metapod	NONE	base	10	2	Metapod	11	Caterpie	Butterfree	4	at Level 10	10	NA	NA	Bug	NONE	50	20	55	25	25	30	205	NONE	Shed Skin	NONE	Harden:0,Harden:1,Bug Bite:1	14:Electroweb	13:Bug Bite,20:Iron Defense	NONE	Bug,Bug	Coba Berry	NONE	0	Brock	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[11]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
12	12	Butterfree	NONE	base	10	3	Butterfree	12	Metapod	Butterfree	254	with the evo[3] === 2 ? 'move ' + moves[730].name : items[730].name	730	Butterfrite	UNK	Bug	Flying	60	45	50	95	80	70	400	Tinted Lens	Compound Eyes	NONE	Gust:0,Gust:1,Confusion:1,Pounce:1,Psybeam:11,Poison Powder:13,Stun Spore:13,Sleep Powder:13,Struggle Bug:16,Silver Wind:19,Supersonic:23,Safeguard:25,Air Cutter:27,Whirlwind:29,Bug Buzz:31,Rage Powder:35,Captivate:37,Tailwind:41,Air Slash:43,Quiver Dance:58	5:Toxic,9:Hidden Power,14:Electroweb,16:Protect,18:Giga Drain,26:Return,28:Psychic,29:Shadow Ball,32:Reflect,33:Teleport,41:Facade,42:Defog,43:Rest,44:Drain Kiss,45:Thief,47:Hurricane,50:Roost,52:Energy Ball,55:Air Slash,62:Venoshock,81:Sleep Talk,84:Future Sight,86:Aerial Ace,88:U-turn,99:Dual Wingbeat,105:Acrobatics,121:Fly,124:Flash	13:Bug Bite,20:Iron Defense,28:Tailwind,74:Substitute,99:Sunny Day,101:Solar Beam,105:Bug Buzz,123:Rain Dance	NONE	Bug,Bug	SilverPowder	NONE	0	Brock	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[12]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
13	13	Weedle	NONE	base	13	1	Weedle	13	NONE	Kakuna	4	at Level 7	7	NA	NA	Bug	Poison	40	35	30	20	20	50	195	Run Away	Shield Dust	NONE	Poison Sting:1,String Shot:1,Bug Bite:7	14:Electroweb	13:Bug Bite	NONE	Bug,Bug	Coba Berry	Viridian Forest:wild-day:0:4-6:1|Viridian Forest Heart:wild-day:0:4-6:1	0	Brock	4	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[13]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
14	14	Kakuna	NONE	base	13	2	Kakuna	14	Weedle	Beedrill	4	at Level 10	10	NA	NA	Bug	Poison	45	25	50	25	25	35	205	NONE	Shed Skin	NONE	Harden:0,Harden:1,Bug Bite:1	14:Electroweb	13:Bug Bite,20:Iron Defense	NONE	Bug,Bug	Coba Berry	NONE	0	Brock	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[14]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
15	15	Beedrill	NONE	base	13	3	Beedrill	15	Kakuna	Beedrill	254	with the evo[3] === 2 ? 'move ' + moves[537].name : items[537].name	537	Beedrillite	UNK	Bug	Poison	65	90	40	45	80	75	395	Sniper	Swarm	NONE	Twineedle:0,Twineedle:1,Fury Attack:1,Pounce:1,Cross Poison:14,Pursuit:17,Focus Energy:20,Venoshock:23,Assurance:26,Toxic Spikes:29,Pin Missile:32,Poison Jab:35,Agility:38,Endeavor:41,Fell Stinger:44,Megahorn:100	5:Toxic,9:Hidden Power,14:Electroweb,16:Protect,18:Giga Drain,26:Return,30:Brick Break,32:Reflect,35:Sludge Bomb,41:Facade,42:Defog,43:Rest,45:Thief,50:Roost,62:Venoshock,74:Knock Off,80:X-Scissor,81:Sleep Talk,83:Poison Jab,86:Aerial Ace,88:U-turn,89:Gunk Shot,99:Dual Wingbeat,105:Acrobatics,120:Cut,121:Fly,124:Flash,125:Rock Smash	13:Bug Bite,20:Iron Defense,28:Tailwind,35:Drill Run,53:Swords Dance,73:Toxic Spikes,74:Substitute,84:Pin Missile,99:Sunny Day,101:Solar Beam	NONE	Bug,Bug	Poison Barb	NONE	0	Brock	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[15]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
16	16	Pidgey	NONE	base	16	1	Pidgey	16	NONE	Pidgeotto	4	at Level 16	16	NA	NA	Normal	Flying	40	45	40	35	35	56	251	No Guard	Frisk	NONE	Tackle:1,Feather Dance:5,Gust:9,Quick Attack:13,Take Down:15,Whirlwind:17,Return:21,Roost:23,Agility:29,Fly:33,Tailwind:41,Mirror Move:45,Air Slash:49,Hurricane:53	5:Toxic,6:Heat Wave,9:Hidden Power,16:Protect,26:Return,32:Reflect,41:Facade,42:Defog,43:Rest,45:Thief,46:Steel Wing,47:Hurricane,50:Roost,55:Air Slash,81:Sleep Talk,86:Aerial Ace,87:Pluck,88:U-turn,99:Dual Wingbeat,116:Brave Bird,121:Fly	0:Work Up,7:Uproar,28:Tailwind,74:Substitute,99:Sunny Day,123:Rain Dance	Pursuit,Feint Attack,Foresight,Steel Wing,Air Cutter,Air Slash,Uproar,Defog	Flying,Flying	NONE	Route 1:wild-day:0:3-5:6|Route 1:wild-day:0:3-5:7|Route 1:wild-night:0:3-5:6|Route 1:wild-night:0:3-5:7	0	Brock	3	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[16]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
17	17	Pidgeotto	NONE	base	16	2	Pidgeotto	17	Pidgey	Pidgeot	4	at Level 36	36	NA	NA	Normal	Flying	63	60	55	50	50	71	349	No Guard	Frisk	NONE	Dual Wingbeat:0,Tackle:1,Dual Wingbeat:1,Feather Dance:5,Gust:9,Quick Attack:13,Take Down:15,Whirlwind:17,Return:23,Roost:26,Agility:32,Air Slash:37,Mirror Move:40,Tailwind:47,Hurricane:62	5:Toxic,6:Heat Wave,9:Hidden Power,16:Protect,26:Return,32:Reflect,41:Facade,42:Defog,43:Rest,45:Thief,46:Steel Wing,47:Hurricane,50:Roost,55:Air Slash,81:Sleep Talk,86:Aerial Ace,87:Pluck,88:U-turn,99:Dual Wingbeat,116:Brave Bird,121:Fly	0:Work Up,7:Uproar,28:Tailwind,74:Substitute,99:Sunny Day,123:Rain Dance	Pursuit,Feint Attack,Foresight,Steel Wing,Air Cutter,Air Slash,Uproar,Defog	Flying,Flying	NONE	NONE	0	Brock	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[17]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
18	18	Pidgeot	NONE	base	16	3	Pidgeot	18	Pidgeotto	Pidgeot	254	with the evo[3] === 2 ? 'move ' + moves[538].name : items[538].name	538	Pidgeotite	UNK	Normal	Flying	83	80	75	70	70	101	479	No Guard	Frisk	NONE	Brave Bird:0,Brave Bird:1,Hurricane:1,Heat Wave:1,Tackle:1,Dual Wingbeat:1,Quick Attack:1,Feather Dance:7,Gust:9,Quick Attack:13,Whirlwind:17,Return:23,Roost:26,Agility:32,Air Slash:38,Mirror Move:44,Tailwind:50,Hurricane:64	5:Toxic,6:Heat Wave,9:Hidden Power,16:Protect,19:Hyper Voice,26:Return,31:Aura Sphere,32:Reflect,41:Facade,42:Defog,43:Rest,45:Thief,46:Steel Wing,47:Hurricane,50:Roost,51:Focus Blast,55:Air Slash,81:Sleep Talk,86:Aerial Ace,87:Pluck,88:U-turn,99:Dual Wingbeat,116:Brave Bird,121:Fly	0:Work Up,7:Uproar,28:Tailwind,74:Substitute,99:Sunny Day,123:Rain Dance	Pursuit,Feint Attack,Foresight,Steel Wing,Air Cutter,Air Slash,Uproar,Defog	Flying,Flying	NONE	NONE	0	Brock	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[18]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
19	19	Rattata	NONE	base	19	1	Rattata	19	NONE	Raticate	4	at Level 16	16	NA	NA	Normal	NONE	30	56	35	25	35	72	253	Hustle	Run Away	Guts	Bite:1,Tail Whip:1,Quick Attack:4,Focus Energy:7,Hyper Fang:10,Pursuit:13,Assurance:19,Crunch:22,Sucker Punch:25,Return:26,Super Fang:28,Double-Edge:31,Endeavor:34	5:Toxic,7:Zen Headbutt,9:Hidden Power,11:Taunt,12:Ice Beam,13:Blizzard,16:Protect,20:Icy Wind,23:Thunderbolt,24:Thunder,26:Return,27:Dig,29:Shadow Ball,35:Sludge Bomb,41:Facade,43:Rest,45:Thief,61:Iron Tail,72:Thunder Wave,81:Sleep Talk,85:Grass Knot,87:Pluck,88:U-turn,98:Wild Charge,120:Cut,125:Rock Smash	0:Work Up,7:Uproar,11:Charge Beam,74:Substitute,91:Body Slam,99:Sunny Day,123:Rain Dance	Screech,Flame Wheel,Fury Swipes,Bite,Counter,Reversal,Uproar,Me First,Revenge,Final Gambit	Field,Field	Chilan Berry	Route 1:wild-day:0:2-4:2	0	Brock	2	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[19]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
20	20	Raticate	NONE	base	19	2	Raticate	20	Rattata	NONE	NONE	NONE	NONE	NONE	NA	Normal	NONE	60	91	60	50	70	97	428	Hustle	Run Away	Guts	Sucker Punch:0,Scary Face:1,Tackle:1,Tail Whip:1,Quick Attack:1,Sucker Punch:1,Bite:4,Focus Energy:7,Hyper Fang:10,Pursuit:13,Zen Headbutt:19,Crunch:23,Return:28,Super Fang:34,Double-Edge:39,Endeavor:44	0:Close Combat,4:Roar,5:Toxic,7:Zen Headbutt,9:Hidden Power,11:Taunt,12:Ice Beam,13:Blizzard,16:Protect,20:Icy Wind,23:Thunderbolt,24:Thunder,26:Return,27:Dig,29:Shadow Ball,35:Sludge Bomb,41:Facade,43:Rest,45:Thief,56:Temper Flare,61:Iron Tail,68:Stomping Tantrum,72:Thunder Wave,81:Sleep Talk,85:Grass Knot,87:Pluck,88:U-turn,98:Wild Charge,120:Cut,123:Strength,125:Rock Smash	0:Work Up,7:Uproar,11:Charge Beam,53:Swords Dance,74:Substitute,91:Body Slam,99:Sunny Day,117:Psychic Fangs,123:Rain Dance	Screech,Flame Wheel,Fury Swipes,Bite,Counter,Reversal,Uproar,Me First,Revenge,Final Gambit	Field,Field	Chilan Berry	Pokemon Mansion 1F:wild-day:11:63-65:0|Pokemon Mansion B1F:wild-day:11:63-65:0	0	Brock	NA	via-evolution	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[20]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
