checkpoint	internal_id	form_key	track	setup_move	ceiling_item	ceiling_item_tag	ceiling_reliable	mean_margin	unlocked_margin	choice_locked	win_rate	switchin_safe_rate	setup_success_rate	slots_scored	reliable_item	item_dependence	moves	ev_spread	confidence
3	7	Squirtle	mixed	NONE	Mystic Water	type_boost	TRUE	47.9844	47.9844	FALSE	0.7813	0.875	NA	64	Mystic Water	0.0	Aqua Tail,Skull Bash,Water Pulse,Icy Wind	252 Atk / 252 SpA / 6 Spe	Derived
3	7	Squirtle	mixed_setup	Work Up	Mystic Water	type_boost	TRUE	47.6563	47.6563	FALSE	0.75	0.875	0.875	64	Mystic Water	0.0	Aqua Tail,Skull Bash,Water Pulse,Work Up	252 Atk / 252 SpA / 6 Spe	Derived
3	7	Squirtle	support	NONE	Berry Juice	longevity	TRUE	45.7344	45.7344	FALSE	0.7188	0.9531	NA	64	Berry Juice	0.0	Water Pulse,Detect	252 HP / 252 Def / 6 SpD	Derived
3	8	Wartortle	physical	NONE	Muscle Band	split_boost	FALSE	48.4375	48.4375	FALSE	0.8594	0.9531	NA	64	Mystic Water	0.0312	Aqua Tail,Iron Tail,Dig,Detect	252 Atk / 252 Spe / 6 HP	Derived
3	8	Wartortle	physical_setup	Work Up	Mystic Water	type_boost	TRUE	48.0625	48.0625	FALSE	0.7969	0.9531	0.9531	64	Mystic Water	0.0	Aqua Tail,Iron Tail,Work Up,Detect	252 Atk / 252 Spe / 6 HP	Derived
3	8	Wartortle	special	NONE	Mystic Water	type_boost	TRUE	48.125	48.125	FALSE	0.7969	0.9531	NA	64	Mystic Water	0.0	Water Pulse,Icy Wind,Water Gun,Detect	252 SpA / 252 Spe / 6 HP	Derived
3	8	Wartortle	special_setup	Work Up	Mystic Water	type_boost	TRUE	47.9531	47.9531	FALSE	0.7969	0.9531	0.9531	64	Mystic Water	0.0	Water Pulse,Icy Wind,Work Up,Detect	252 SpA / 252 Spe / 6 HP	Derived
3	8	Wartortle	mixed	NONE	Mystic Water	type_boost	TRUE	48.3125	48.3125	FALSE	0.8438	0.9531	NA	64	Mystic Water	0.0	Aqua Tail,Iron Tail,Water Pulse,Icy Wind	252 Atk / 252 SpA / 6 Spe	Derived
3	8	Wartortle	mixed_setup	Work Up	Mystic Water	type_boost	TRUE	48	48	FALSE	0.7969	0.9531	0.9531	64	Mystic Water	0	Aqua Tail,Iron Tail,Water Pulse,Work Up	252 Atk / 252 SpA / 6 Spe	Derived
3	8	Wartortle	support	NONE	Berry Juice	longevity	TRUE	46.9688	46.9688	FALSE	0.75	0.9844	NA	64	Berry Juice	0.0	Water Pulse,Detect	252 HP / 252 Def / 6 SpD	Derived
3	9	Blastoise	physical	NONE	Muscle Band	split_boost	FALSE	49.0781	49.0781	FALSE	0.9219	1	NA	64	Mystic Water	0.0156	Aqua Tail,Iron Tail,Dig,Detect	252 Atk / 252 Spe / 6 HP	Derived
3	9	Blastoise	physical_setup	Work Up	Mystic Water	type_boost	TRUE	48.75	48.75	FALSE	0.8906	1	1	64	Mystic Water	0.0	Aqua Tail,Iron Tail,Work Up,Detect	252 Atk / 252 Spe / 6 HP	Derived
3	9	Blastoise	special	NONE	Mystic Water	type_boost	TRUE	49.0469	49.0469	FALSE	0.9063	1	NA	64	Mystic Water	0.0	Scald,Flash Cannon,Icy Wind,Detect	252 SpA / 252 Spe / 6 HP	Derived
3	9	Blastoise	special_setup	Work Up	Mystic Water	type_boost	TRUE	48.7344	48.7344	FALSE	0.8594	1	1	64	Mystic Water	0.0	Scald,Flash Cannon,Work Up,Detect	252 SpA / 252 Spe / 6 HP	Derived
3	9	Blastoise	mixed	NONE	Mystic Water	type_boost	TRUE	48.9688	48.9688	FALSE	0.9219	1	NA	64	Mystic Water	0.0	Aqua Tail,Iron Tail,Scald,Flash Cannon	252 Atk / 252 SpA / 6 Spe	Derived
3	9	Blastoise	mixed_setup	Work Up	Mystic Water	type_boost	TRUE	48.6719	48.6719	FALSE	0.875	1	1	64	Mystic Water	0.0	Aqua Tail,Iron Tail,Scald,Work Up	252 Atk / 252 SpA / 6 Spe	Derived
3	10	Caterpie	physical	NONE	Muscle Band	split_boost	FALSE	46.7656	46.7656	FALSE	0.6875	0.7813	NA	64	Expert Belt	0.1875	Bug Bite,Tackle	252 Atk / 252 Spe / 6 HP	Derived
3	12	Butterfree	special	NONE	Expert Belt	expert_belt	TRUE	48.8594	48.8594	FALSE	0.9063	0.9219	NA	64	Expert Belt	0.0	Bug Buzz,Air Cutter,Psychic,Poison Powder	252 SpA / 252 Spe / 6 HP	Derived
3	13	Weedle	physical	NONE	Poison Barb	type_boost	TRUE	46.875	46.875	FALSE	0.6875	0.75	NA	64	Poison Barb	0.0	Bug Bite,Poison Sting	252 Atk / 252 Spe / 6 HP	Derived
3	15	Beedrill	physical	NONE	Poison Barb	type_boost	TRUE	49.0313	49.0313	FALSE	0.9063	0.9531	NA	64	Poison Barb	0.0	Cross Poison,U-turn,Brick Break,Toxic Spikes	252 Atk / 252 Spe / 6 HP	Derived
3	16	Pidgey	physical	NONE	Sharp Beak	type_boost	TRUE	47.9219	47.9219	FALSE	0.7813	0.7813	NA	64	Sharp Beak	0.0	Brave Bird,Take Down,Steel Wing,Whirlwind	252 Atk / 252 Spe / 6 HP	Derived
3	16	Pidgey	physical_setup	Agility	Sharp Beak	type_boost	TRUE	47.4688	47.4688	FALSE	0.6875	0.7813	0.7813	64	Sharp Beak	0.0	Brave Bird,Take Down,Agility,Whirlwind	252 Atk / 252 Spe / 6 HP	Derived
3	16	Pidgey	support	NONE	Berry Juice	longevity	TRUE	55.5156	55.5156	FALSE	0.7813	0.8594	NA	64	Berry Juice	0.0	Brave Bird,Whirlwind,Roost,Defog	252 HP / 252 Def / 6 SpD	Derived
3	17	Pidgeotto	physical	NONE	Sharp Beak	type_boost	TRUE	48.4063	48.4063	FALSE	0.875	0.875	NA	64	Sharp Beak	0.0	Brave Bird,Take Down,Steel Wing,Whirlwind	252 Atk / 252 Spe / 6 HP	Derived
3	17	Pidgeotto	physical_setup	Agility	Sharp Beak	type_boost	TRUE	47.8906	47.8906	FALSE	0.7813	0.875	0.875	64	Sharp Beak	0.0	Brave Bird,Take Down,Agility,Whirlwind	252 Atk / 252 Spe / 6 HP	Derived
3	17	Pidgeotto	support	NONE	Berry Juice	longevity	TRUE	64.4531	64.4531	FALSE	0.8594	0.9531	NA	64	Berry Juice	0.0	Brave Bird,Whirlwind,Roost,Defog	252 HP / 252 Def / 6 SpD	Derived
3	18	Pidgeot	physical	NONE	Sharp Beak	type_boost	TRUE	48.9531	48.9531	FALSE	0.9219	0.9844	NA	64	Sharp Beak	0.0	Brave Bird,Facade,Steel Wing,Whirlwind	252 Atk / 252 Spe / 6 HP	Derived
3	18	Pidgeot	physical_setup	Agility	Sharp Beak	type_boost	TRUE	48.4219	48.4219	FALSE	0.8281	0.9844	0.9844	64	Sharp Beak	0.0	Brave Bird,Facade,Agility,Whirlwind	252 Atk / 252 Spe / 6 HP	Derived
3	18	Pidgeot	special	NONE	Sharp Beak	type_boost	TRUE	48.9375	48.9375	FALSE	0.9219	0.9844	NA	64	Sharp Beak	0.0	Hurricane,Heat Wave,Gust,Whirlwind	252 SpA / 252 Spe / 6 HP	Derived
3	18	Pidgeot	special_setup	Agility	Sharp Beak	type_boost	TRUE	48.4219	48.4219	FALSE	0.8281	0.9844	0.9844	64	Sharp Beak	0.0	Hurricane,Heat Wave,Agility,Whirlwind	252 SpA / 252 Spe / 6 HP	Derived
3	18	Pidgeot	mixed	NONE	Sharp Beak	type_boost	TRUE	48.9531	48.9531	FALSE	0.9063	0.9844	NA	64	Sharp Beak	0.0	Brave Bird,Facade,Hurricane,Heat Wave	252 Atk / 252 SpA / 6 Spe	Derived
3	18	Pidgeot	mixed_setup	Agility	Sharp Beak	type_boost	TRUE	48.4375	48.4375	FALSE	0.8281	0.9844	0.9844	64	Sharp Beak	0.0	Brave Bird,Facade,Hurricane,Agility	252 Atk / 252 SpA / 6 Spe	Derived
3	19	Rattata	physical	NONE	Silk Scarf	type_boost	TRUE	48.25	48.25	FALSE	0.9375	0.8125	NA	64	Silk Scarf	0.0	Double-Edge,Iron Tail,Crunch	252 Atk / 252 Spe / 6 HP	Derived
3	19	Rattata	physical_setup	Work Up	Silk Scarf	type_boost	TRUE	47.75	47.75	FALSE	0.7656	0.8125	0.8125	64	Silk Scarf	0.0	Double-Edge,Iron Tail,Work Up	252 Atk / 252 Spe / 6 HP	Derived
3	20	Raticate	physical	NONE	Silk Scarf	type_boost	TRUE	48.8281	48.8281	FALSE	0.9688	0.9688	NA	64	Silk Scarf	0.0	Hyper Fang,Iron Tail,Zen Headbutt,Roar	252 Atk / 252 Spe / 6 HP	Derived
3	20	Raticate	physical_setup	Work Up	Silk Scarf	type_boost	TRUE	48.375	48.375	FALSE	0.9531	0.9688	0.9688	64	Silk Scarf	0.0	Hyper Fang,Iron Tail,Work Up,Roar	252 Atk / 252 Spe / 6 HP	Derived
3	21	Spearow	physical	NONE	Sharp Beak	type_boost	TRUE	49.6875	49.6875	FALSE	0.8438	0.7344	NA	64	Sharp Beak	0.0	Brave Bird,Facade,Steel Wing,Roost	252 Atk / 252 Spe / 6 HP	Derived
3	21	Spearow	physical_setup	Agility	Sharp Beak	type_boost	TRUE	49.0313	49.0313	FALSE	0.7031	0.7344	0.7344	64	Sharp Beak	0.0	Brave Bird,Facade,Agility,Roost	252 Atk / 252 Spe / 6 HP	Derived
3	21	Spearow	support	NONE	Berry Juice	longevity	TRUE	54.0625	54.0625	FALSE	0.7969	0.8281	NA	64	Berry Juice	0.0	Brave Bird,Roost,Defog	252 HP / 252 Def / 6 SpD	Derived
3	22	Fearow	physical	NONE	Sharp Beak	type_boost	TRUE	48.7656	48.7656	FALSE	0.9375	0.9219	NA	64	Sharp Beak	0.0	Brave Bird,Facade,Drill Run,Defog	252 Atk / 252 Spe / 6 HP	Derived
3	22	Fearow	physical_setup	Agility	Sharp Beak	type_boost	TRUE	48.1719	48.1719	FALSE	0.8281	0.9219	0.9219	64	Sharp Beak	0.0	Brave Bird,Facade,Agility,Defog	252 Atk / 252 Spe / 6 HP	Derived
3	23	Ekans	physical	NONE	Poison Barb	type_boost	TRUE	48.2031	48.2031	FALSE	0.8281	0.9219	NA	64	Poison Barb	0.0	Poison Fang,Iron Tail,Seed Bomb,Glare	252 Atk / 252 Spe / 6 HP	Derived
3	23	Ekans	physical_setup	Coil	Poison Barb	type_boost	TRUE	47.7969	47.7969	FALSE	0.75	0.9219	0.9219	64	Poison Barb	0.0	Poison Fang,Iron Tail,Coil,Glare	252 Atk / 252 Spe / 6 HP	Derived
3	23	Ekans	support	NONE	Berry Juice	longevity	TRUE	48.5156	48.5156	FALSE	0.7656	0.9844	NA	64	Berry Juice	0.0	Poison Fang,Glare	252 HP / 252 Def / 6 SpD	Derived
3	24	Arbok	physical	NONE	Poison Barb	type_boost	TRUE	49.1875	49.1875	FALSE	0.9688	1	NA	64	Poison Barb	0.0	Poison Jab,Crunch,Iron Tail,Glare	252 Atk / 252 Spe / 6 HP	Derived
3	25	Pikachu	physical	NONE	Muscle Band	split_boost	FALSE	50.9688	50.9688	FALSE	0.8906	0.8594	NA	64	Magnet	0.0469	Thunder Punch,Iron Tail,Play Rough,Thunder Wave	252 Atk / 252 Spe / 6 HP	Derived
3	25	Pikachu	special	NONE	Magnet	type_boost	TRUE	50.5781	50.5781	FALSE	0.7969	0.8594	NA	64	Magnet	0.0	Discharge,Drain Kiss,Electroweb,Thunder Wave	252 SpA / 252 Spe / 6 HP	Derived
3	25	Pikachu	mixed	NONE	Magnet	type_boost	TRUE	50.7656	50.7656	FALSE	0.8125	0.8594	NA	64	Magnet	0.0	Thunder Punch,Iron Tail,Discharge,Drain Kiss	252 Atk / 252 SpA / 6 Spe	Derived
3	25	Pikachu	support	NONE	Berry Juice	longevity	TRUE	47.4531	47.4531	FALSE	0.7656	0.9844	NA	64	Berry Juice	0.0	Thunder Punch,Thunder Wave	252 HP / 252 Def / 6 SpD	Derived
3	26	Raichu	physical	NONE	Silk Scarf	type_boost	TRUE	51.875	51.875	FALSE	0.9375	0.9688	NA	64	Silk Scarf	0.0	Thunder Punch,Facade,Iron Tail	252 Atk / 252 Spe / 6 HP	Derived
3	26	Raichu	special	NONE	Magnet	type_boost	TRUE	51.6719	51.6719	FALSE	0.9375	0.9688	NA	64	Magnet	0.0	Thunderbolt,Drain Kiss,Thunderclap	252 SpA / 252 Spe / 6 HP	Derived
3	26	Raichu	mixed	NONE	Silk Scarf	type_boost	TRUE	51.8594	51.8594	FALSE	0.9531	0.9688	NA	64	Silk Scarf	0.0	Thunder Punch,Facade,Thunderbolt,Drain Kiss	252 Atk / 252 SpA / 6 Spe	Derived
3	27	Sandshrew	physical	NONE	Muscle Band	split_boost	FALSE	51.125	51.125	FALSE	0.8281	0.7969	NA	64	Soft Sand	0.0156	Dig,Iron Tail,Brick Break	252 Atk / 252 Spe / 6 HP	Derived
3	27	Sandshrew	physical_setup	Work Up	Soft Sand	type_boost	TRUE	50.7031	50.7031	FALSE	0.7031	0.7969	0.7969	64	Soft Sand	0.0	Dig,Iron Tail,Work Up	252 Atk / 252 Spe / 6 HP	Derived
3	28	Sandslash	physical	NONE	Soft Sand	type_boost	TRUE	52	52	FALSE	0.9531	0.9375	NA	64	Soft Sand	0	Dig,Iron Tail,Crush Claw,Spiky Shield	252 Atk / 252 Spe / 6 HP	Derived
3	28	Sandslash	physical_setup	Work Up	Soft Sand	type_boost	TRUE	51.6406	51.6406	FALSE	0.8906	0.9375	0.9375	64	Soft Sand	0.0	Dig,Iron Tail,Work Up,Spiky Shield	252 Atk / 252 Spe / 6 HP	Derived
3	29	Nidoran-F	physical	NONE	Muscle Band	split_boost	FALSE	48.2188	48.2188	FALSE	0.8438	0.9063	NA	64	Expert Belt	0.0469	Iron Tail,Dig,Facade,Toxic Spikes	252 Atk / 252 Spe / 6 HP	Derived
3	29	Nidoran-F	physical_setup	Hone Claws	Muscle Band	split_boost	FALSE	47.8906	47.8906	FALSE	0.7344	0.9063	0.9063	64	Expert Belt	0.0312	Iron Tail,Dig,Hone Claws,Toxic Spikes	252 Atk / 252 Spe / 6 HP	Derived
3	29	Nidoran-F	support	NONE	Berry Juice	longevity	TRUE	47.8438	47.8438	FALSE	0.7656	0.9844	NA	64	Berry Juice	0.0	Iron Tail,Toxic Spikes	252 HP / 252 Def / 6 SpD	Derived
3	30	Nidorina	physical	NONE	Muscle Band	split_boost	FALSE	48.8125	48.8125	FALSE	0.9375	0.9844	NA	64	Expert Belt	0.0156	Iron Tail,Dig,Facade	252 Atk / 252 Spe / 6 HP	Derived
3	30	Nidorina	physical_setup	Hone Claws	Muscle Band	split_boost	FALSE	48.4844	48.4844	FALSE	0.9063	0.9844	0.9844	64	Poison Barb	0.0156	Iron Tail,Dig,Hone Claws	252 Atk / 252 Spe / 6 HP	Derived
3	30	Nidorina	special	NONE	Poison Barb	type_boost	TRUE	47.1406	47.1406	FALSE	0.9375	0.9844	NA	64	Poison Barb	0.0	Sludge Bomb,Venoshock	252 SpA / 252 Spe / 6 HP	Derived
3	30	Nidorina	mixed	NONE	Poison Barb	type_boost	TRUE	48.7969	48.7969	FALSE	0.9531	0.9844	NA	64	Poison Barb	0.0	Iron Tail,Dig,Sludge Bomb,Venoshock	252 Atk / 252 SpA / 6 Spe	Derived
3	30	Nidorina	mixed_setup	Hone Claws	Poison Barb	type_boost	TRUE	48.4063	48.4063	FALSE	0.8594	0.9844	0.9844	64	Poison Barb	0.0	Iron Tail,Dig,Sludge Bomb,Hone Claws	252 Atk / 252 SpA / 6 Spe	Derived
3	31	Nidoqueen	physical	NONE	Soft Sand	type_boost	TRUE	52.4844	52.4844	FALSE	0.9531	0.9688	NA	64	Soft Sand	0.0	Superpower,Dig,Iron Tail,Roar	252 Atk / 252 Spe / 6 HP	Derived
3	31	Nidoqueen	physical_setup	Hone Claws	Soft Sand	type_boost	TRUE	52.0313	52.0313	FALSE	0.9219	0.9688	0.9688	64	Soft Sand	0.0	Superpower,Dig,Hone Claws,Roar	252 Atk / 252 Spe / 6 HP	Derived
3	32	Nidoran-M	physical	NONE	Expert Belt	expert_belt	TRUE	48.2031	48.2031	FALSE	0.875	0.8906	NA	64	Expert Belt	0.0	Iron Tail,Dig,Facade,Toxic Spikes	252 Atk / 252 Spe / 6 HP	Derived
3	32	Nidoran-M	physical_setup	Hone Claws	Muscle Band	split_boost	FALSE	47.8281	47.8281	FALSE	0.7656	0.8906	0.8906	64	Expert Belt	0.0312	Iron Tail,Dig,Hone Claws,Toxic Spikes	252 Atk / 252 Spe / 6 HP	Derived
3	32	Nidoran-M	support	NONE	Berry Juice	longevity	TRUE	47.9688	47.9688	FALSE	0.7813	0.9688	NA	64	Berry Juice	0.0	Iron Tail,Toxic Spikes	252 HP / 252 Def / 6 SpD	Derived
3	33	Nidorino	physical	NONE	Muscle Band	split_boost	FALSE	48.8906	48.8906	FALSE	0.9531	0.9844	NA	64	Poison Barb	0.0156	Poison Jab,Iron Tail,Dig	252 Atk / 252 Spe / 6 HP	Derived
3	33	Nidorino	physical_setup	Hone Claws	Poison Barb	type_boost	TRUE	48.4531	48.4531	FALSE	0.8906	0.9844	0.9844	64	Poison Barb	0.0	Poison Jab,Iron Tail,Hone Claws	252 Atk / 252 Spe / 6 HP	Derived
3	34	Nidoking	physical	NONE	Soft Sand	type_boost	TRUE	52.2813	52.2813	FALSE	0.9531	0.9531	NA	64	Soft Sand	0.0	Megahorn,Dig,Iron Tail,Roar	252 Atk / 252 Spe / 6 HP	Derived
3	34	Nidoking	physical_setup	Hone Claws	Soft Sand	type_boost	TRUE	51.8125	51.8125	FALSE	0.8906	0.9531	0.9531	64	Soft Sand	0.0	Megahorn,Dig,Hone Claws,Roar	252 Atk / 252 Spe / 6 HP	Derived
3	35	Clefairy	special	NONE	Expert Belt	expert_belt	TRUE	48.1719	48.1719	FALSE	0.7969	0.9531	NA	64	Expert Belt	0.0	Psychic,Shadow Ball,Drain Kiss,Encore	252 SpA / 252 Spe / 6 HP	Derived
3	35	Clefairy	special_setup	Work Up	Pixie Plate	type_boost	TRUE	47.875	47.875	FALSE	0.7344	0.9531	0.9531	64	Pixie Plate	0.0	Psychic,Shadow Ball,Work Up,Encore	252 SpA / 252 Spe / 6 HP	Derived
3	35	Clefairy	support	NONE	Berry Juice	longevity	TRUE	68.8125	68.8125	FALSE	0.9375	1	NA	64	Berry Juice	0.0	Psychic,Encore,Thunder Wave,Wish	252 HP / 252 Def / 6 SpD	Derived
3	36	Clefable	special	NONE	Expert Belt	expert_belt	TRUE	49.2031	49.2031	FALSE	0.9531	1	NA	64	Expert Belt	0.0	Psychic,Shadow Ball,Drain Kiss,Teleport	252 SpA / 252 Spe / 6 HP	Derived
3	36	Clefable	special_setup	Work Up	Pixie Plate	type_boost	TRUE	48.9063	48.9063	FALSE	0.9531	1	1	64	Pixie Plate	0.0	Psychic,Shadow Ball,Work Up,Teleport	252 SpA / 252 Spe / 6 HP	Derived
3	37	Vulpix	special	NONE	Charcoal	type_boost	TRUE	48.1406	48.1406	FALSE	0.8438	0.9375	NA	64	Charcoal	0.0	Flame Burst,Extrasensory,Hex,Roar	252 SpA / 252 Spe / 6 HP	Derived
3	37	Vulpix	support	NONE	Berry Juice	longevity	TRUE	43.9531	43.9531	FALSE	0.7813	0.9375	NA	64	Berry Juice	0.0	Flame Burst,Roar,Will-O-Wisp,Safeguard	252 HP / 252 Def / 6 SpD	Derived
3	38	Ninetales	physical	NONE	Muscle Band	split_boost	FALSE	49.2656	49.2656	FALSE	0.9219	0.9531	NA	64	Expert Belt	0.0156	Iron Tail,Dig,Flame Charge,Safeguard	252 Atk / 252 Spe / 6 HP	Derived
3	38	Ninetales	special	NONE	Charcoal	type_boost	TRUE	49.3438	49.3438	FALSE	0.9063	0.9531	NA	64	Charcoal	0.0	Flamethrower,Shadow Ball,Psyshock,Safeguard	252 SpA / 252 Spe / 6 HP	Derived
3	38	Ninetales	special_setup	Nasty Plot	Charcoal	type_boost	TRUE	49.0625	49.0625	FALSE	0.9063	0.9531	0.9531	64	Charcoal	0.0	Flamethrower,Shadow Ball,Nasty Plot,Safeguard	252 SpA / 252 Spe / 6 HP	Derived
3	38	Ninetales	mixed	NONE	Expert Belt	expert_belt	TRUE	49.4375	49.4375	FALSE	0.9531	0.9531	NA	64	Expert Belt	0.0	Iron Tail,Dig,Flamethrower,Shadow Ball	252 Atk / 252 SpA / 6 Spe	Derived
3	39	Jigglypuff	physical	NONE	Pixie Plate	type_boost	TRUE	48.0469	48.0469	FALSE	0.7969	0.9375	NA	64	Pixie Plate	0.0	Play Rough,Body Slam,Dig,Disable	252 Atk / 252 Spe / 6 HP	Derived
3	39	Jigglypuff	physical_setup	Work Up	Pixie Plate	type_boost	TRUE	47.6406	47.6406	FALSE	0.6563	0.9375	0.9375	64	Pixie Plate	0.0	Play Rough,Body Slam,Work Up,Disable	252 Atk / 252 Spe / 6 HP	Derived
3	39	Jigglypuff	special	NONE	Silk Scarf	type_boost	TRUE	47.6875	47.6875	FALSE	0.7031	0.9375	NA	64	Silk Scarf	0.0	Round,Psychic,Shadow Ball,Disable	252 SpA / 252 Spe / 6 HP	Derived
3	39	Jigglypuff	special_setup	Work Up	Silk Scarf	type_boost	TRUE	47.3906	47.3906	FALSE	0.6563	0.9375	0.9375	64	Silk Scarf	0.0	Round,Psychic,Work Up,Disable	252 SpA / 252 Spe / 6 HP	Derived
3	39	Jigglypuff	mixed	NONE	Pixie Plate	type_boost	TRUE	47.8438	47.8438	FALSE	0.75	0.9375	NA	64	Pixie Plate	0.0	Play Rough,Body Slam,Round,Psychic	252 Atk / 252 SpA / 6 Spe	Derived
3	39	Jigglypuff	mixed_setup	Work Up	Pixie Plate	type_boost	TRUE	47.4375	47.4375	FALSE	0.625	0.9375	0.9375	64	Pixie Plate	0.0	Play Rough,Body Slam,Round,Work Up	252 Atk / 252 SpA / 6 Spe	Derived
3	39	Jigglypuff	support	NONE	Berry Juice	longevity	TRUE	48.1406	48.1406	FALSE	0.7344	0.9844	NA	64	Berry Juice	0.0	Play Rough,Disable,Teleport	252 HP / 252 Def / 6 SpD	Derived
3	40	Wigglytuff	special	NONE	Silk Scarf	type_boost	TRUE	49.0625	49.0625	FALSE	0.9688	1	NA	64	Silk Scarf	0.0	Tri Attack,Alluring Voice,Psychic,Disable	252 SpA / 252 Spe / 6 HP	Derived
3	40	Wigglytuff	special_setup	Work Up	Silk Scarf	type_boost	TRUE	48.7188	48.7188	FALSE	0.9375	1	1	64	Silk Scarf	0.0	Tri Attack,Alluring Voice,Work Up,Disable	252 SpA / 252 Spe / 6 HP	Derived
3	41	Zubat	physical	NONE	Sharp Beak	type_boost	TRUE	48.0781	48.0781	FALSE	0.75	0.7344	NA	64	Sharp Beak	0.0	Brave Bird,Poison Fang,Leech Life,Defog	252 Atk / 252 Spe / 6 HP	Derived
