internal_id	form_key	location	method	gate	gate_name	level_min	level_max	slot_index	earliest_gate	gate_basis	confidence
81	Magnemite	Route 10	wild-day	3	Surge	27	29	9	1	direct	Measured
81	Magnemite	Route 10	wild-night	3	Surge	27	29	8	1	direct	Measured
81	Magnemite	Route 10	wild-night	3	Surge	27	29	9	1	direct	Measured
82	Magneton	Power Plant	wild-day	10	May	63	65	0	1	via-evolution	Measured
82	Magneton	Power Plant	wild-night	10	May	63	65	0	1	via-evolution	Measured
82	Magneton	Cerulean Cave 1F	wild-day	12	Archer-3	68	70	4	1	via-evolution	Measured
82	Magneton	Cerulean Cave 1F	wild-day	12	Archer-3	68	70	5	1	via-evolution	Measured
82	Magneton	Cerulean Cave 1F	wild-night	12	Archer-3	68	70	4	1	via-evolution	Measured
82	Magneton	Cerulean Cave 1F	wild-night	12	Archer-3	68	70	5	1	via-evolution	Measured
83	Farfetch’d	Route 24	wild-day	2	Misty	14	16	7	2	direct	Measured
84	Doduo	Route 25	wild-day	2	Misty	16	18	5	2	direct	Measured
84	Doduo	Route 25	wild-night	2	Misty	16	18	5	2	direct	Measured
86	Seel	Route 12	wild-oldRod	3	Surge	2	4	1	3	direct	Measured
87	Dewgong	Route 12	wild-day	9	Koga	50	52	1	3	via-evolution	Measured
87	Dewgong	Route 12	wild-night	9	Koga	50	52	1	3	via-evolution	Measured
87	Dewgong	Route 12	wild-superRod	9	Koga	53	55	2	3	via-evolution	Measured
87	Dewgong	Seafoam Islands B4F	wild-day	10	May	62	64	4	3	via-evolution	Measured
87	Dewgong	Seafoam Islands B4F	wild-day	10	May	62	64	5	3	via-evolution	Measured
87	Dewgong	Seafoam Islands B3F	wild-surf	10	May	56	58	0	3	via-evolution	Measured
88	Grimer	Pewter City	wild-day	0	Brock	7	9	0	0	direct	Measured
88	Grimer	Route 5	wild-day	2	Misty	18	20	8	0	direct	Measured
88	Grimer	Route 5	wild-day	2	Misty	18	20	9	0	direct	Measured
89	Muk	Route 17	wild-day	9	Koga	46	48	2	0	via-evolution	Measured
89	Muk	Celadon City	wild-superRod	9	Koga	53	55	3	0	via-evolution	Measured
89	Muk	Pokemon Mansion 1F	wild-day	11	Blaine	63	65	2	0	via-evolution	Measured
89	Muk	Pokemon Mansion 1F	wild-day	11	Blaine	63	65	3	0	via-evolution	Measured
90	Shellder	Route 21 North	wild-oldRod	0	Brock	2	4	1	0	direct	Measured
90	Shellder	Route 6	wild-oldRod	2	Misty	2	4	1	0	direct	Measured
90	Shellder	Route 12	wild-goodRod	3	Surge	27	29	0	0	direct	Measured
90	Shellder	Route 19	wild-goodRod	9	Koga	27	29	0	0	direct	Measured
90	Shellder	Seafoam Islands B4F	wild-goodRod	10	May	27	29	1	0	direct	Measured
90	Shellder	Route 21 South	wild-oldRod	10	May	2	4	1	0	direct	Measured
92	Gastly	Pewter City	wild-night	0	Brock	7	9	6	0	direct	Measured
93	Haunter	Pokemon Tower 3F	wild-day	3	Surge	45	47	0	0	via-evolution	Measured
93	Haunter	Pokemon Tower 4F	wild-day	3	Surge	45	47	0	0	via-evolution	Measured
93	Haunter	Pokemon Tower 5F	wild-day	3	Surge	45	47	0	0	via-evolution	Measured
93	Haunter	Pokemon Tower 6F	wild-day	3	Surge	45	47	0	0	via-evolution	Measured
93	Haunter	Pokemon Tower 3F	wild-night	3	Surge	45	47	0	0	via-evolution	Measured
93	Haunter	Pokemon Tower 4F	wild-night	3	Surge	45	47	0	0	via-evolution	Measured
93	Haunter	Pokemon Tower 5F	wild-night	3	Surge	45	47	0	0	via-evolution	Measured
93	Haunter	Pokemon Tower 6F	wild-night	3	Surge	45	47	0	0	via-evolution	Measured
93	Haunter	Pokemon Tower 7F	wild-day	6	Archer-2	45	47	0	0	via-evolution	Measured
93	Haunter	Pokemon Tower 7F	wild-night	6	Archer-2	45	47	0	0	via-evolution	Measured
95	Onix	Mt. Moon B2F	wild-day	1	Archer-1	12	14	10	1	direct	Measured
95	Onix	Mt. Moon B2F	wild-day	1	Archer-1	12	14	11	1	direct	Measured
95	Onix	Mt. Moon B2F	wild-night	1	Archer-1	12	14	10	1	direct	Measured
95	Onix	Mt. Moon B2F	wild-night	1	Archer-1	12	14	11	1	direct	Measured
95	Onix	Rock Tunnel 1F	wild-night	3	Surge	29	31	4	1	direct	Measured
96	Drowzee	Route 11	raid1	2	Misty	NA	NA	NA	2	direct	Measured
96	Drowzee	Route 11	wild-day	2	Misty	23	25	2	2	direct	Measured
96	Drowzee	Route 11	wild-night	2	Misty	23	25	2	2	direct	Measured
98	Krabby	Route 11	wild-oldRod	2	Misty	2	4	0	2	direct	Measured
98	Krabby	Route 21 North	wild-goodRod	3	Surge	27	29	0	2	direct	Measured
98	Krabby	S.S. Anne Port	wild-goodRod	3	Surge	27	29	2	2	direct	Measured
98	Krabby	Safari Zone Area 3	wild-goodRod	9	Koga	27	29	1	2	direct	Measured
98	Krabby	Safari Zone Area 1	wild-oldRod	9	Koga	2	4	1	2	direct	Measured
98	Krabby	Cinnabar Island	wild-goodRod	10	May	27	29	0	2	direct	Measured
98	Krabby	Route 21 South	wild-goodRod	10	May	27	29	0	2	direct	Measured
98	Krabby	Seafoam Islands B3F	wild-goodRod	10	May	27	29	2	2	direct	Measured
98	Krabby	Cerulean Cave 1F	wild-goodRod	12	Archer-3	27	29	2	2	direct	Measured
98	Krabby	Cerulean Cave B1F	wild-goodRod	13	Giovanni-3	27	29	1	2	direct	Measured
99	Kingler	Route 21 North	wild-superRod	9	Koga	53	55	2	2	via-evolution	Measured
99	Kingler	Safari Zone Area 3	wild-superRod	9	Koga	53	55	0	2	via-evolution	Measured
99	Kingler	Seafoam Islands B3F	wild-night	10	May	62	64	4	2	via-evolution	Measured
99	Kingler	Seafoam Islands B3F	wild-night	10	May	62	64	5	2	via-evolution	Measured
99	Kingler	Cerulean Cave 1F	wild-surf	12	Archer-3	56	58	3	2	via-evolution	Measured
99	Kingler	Cerulean Cave 1F	wild-surf	12	Archer-3	56	58	4	2	via-evolution	Measured
99	Kingler	Treasure Beach	wild-day	17	Post-Game	83	85	8	2	via-evolution	Measured
99	Kingler	Treasure Beach	wild-day	17	Post-Game	83	85	9	2	via-evolution	Measured
99	Kingler	Cape Brink	wild-superRod	17	Post-Game	83	85	3	2	via-evolution	Measured
99	Kingler	Cape Brink	wild-superRod	17	Post-Game	83	85	4	2	via-evolution	Measured
100	Voltorb	Route 10	wild-day	3	Surge	27	29	0	3	direct	Measured
101	Electrode	Power Plant	wild-day	10	May	63	65	1	3	via-evolution	Measured
101	Electrode	Power Plant	wild-night	10	May	63	65	1	3	via-evolution	Measured
102	Exeggcute	Pewter City	wild-day	0	Brock	7	9	2	0	direct	Measured
102	Exeggcute	Pewter City	wild-night	0	Brock	7	9	2	0	direct	Measured
102	Exeggcute	Route 9	wild-day	3	Surge	25	27	1	0	direct	Measured
102	Exeggcute	Route 9	wild-night	3	Surge	25	27	1	0	direct	Measured
103	Exeggutor	Route 13	wild-day	9	Koga	48	50	1	0	via-evolution	Measured
104	Cubone	Pokemon Tower 3F	wild-day	3	Surge	45	47	5	3	direct	Measured
104	Cubone	Pokemon Tower 4F	wild-day	3	Surge	45	47	5	3	direct	Measured
104	Cubone	Pokemon Tower 5F	wild-day	3	Surge	45	47	5	3	direct	Measured
104	Cubone	Pokemon Tower 6F	wild-day	3	Surge	45	47	5	3	direct	Measured
104	Cubone	Pokemon Tower 3F	wild-night	3	Surge	45	47	5	3	direct	Measured
104	Cubone	Pokemon Tower 4F	wild-night	3	Surge	45	47	5	3	direct	Measured
104	Cubone	Pokemon Tower 5F	wild-night	3	Surge	45	47	5	3	direct	Measured
104	Cubone	Pokemon Tower 6F	wild-night	3	Surge	45	47	5	3	direct	Measured
104	Cubone	Rock Tunnel B1F	wild-night	3	Surge	30	32	3	3	direct	Measured
