lineage_id	checkpoints	raw_mean_vorp	dead_weight_penalty	lineage_vorp	comes_online_at	forms
701	1	0.1497	0.0	0.1497	16	Meloetta
245	16	0.1498	0.0008	0.1491	1	Suicune
572	16	0.1467	0.0	0.1467	1	Unfezant
826	1	0.1462	0.0	0.1462	16	Zygarde
1108	17	0.1458	0.0	0.1458	0	Drizzile,Inteleon
1105	16	0.1498	0.0043	0.1454	1	Cinderace
84	15	0.1478	0.0034	0.1445	2	Dodrio
848	15	0.1439	0.0	0.1439	2	Floette-Eternal
958	15	0.1463	0.0038	0.1425	2	Oricorio
685	14	0.1532	0.0108	0.1424	3	Durant
471	15	0.1417	0.0	0.1417	2	Floatzel
155	16	0.1465	0.006	0.1405	1	Typhlosion-Hisui
509	15	0.1404	0.0	0.1404	2	Lumineon
686	11	0.1386	0.0	0.1386	6	Hydreigon
568	16	0.1383	0.0	0.1383	1	Simipour
698	2	0.1381	0.0	0.1381	15	Landorus
222	14	0.1379	0.0	0.1379	3	Corsola
4	17	0.1405	0.0028	0.1378	1	Charizard,Charizard-Mega-Y
1360	7	0.136	0.0	0.136	10	Ogerpon-Cornerstone
72	17	0.1363	0.0011	0.1351	0	Tentacool,Tentacruel
1304	14	0.1367	0.002	0.1347	3	Sneasler
543	7	0.1347	0.0	0.1347	10	Manaphy
1218	7	0.1344	0.0	0.1344	10	Zapdos-Galar
144	7	0.1337	0.0	0.1337	10	Articuno
364	17	0.1334	0.0	0.1334	0	Slaking
1257	1	0.1323	0.0	0.1323	16	Roaring Moon
1358	7	0.1358	0.0043	0.1315	10	Ogerpon-Wellspring
1258	5	0.1348	0.0034	0.1315	12	Iron Treads
809	8	0.1358	0.0046	0.1311	9	Hawlucha
190	15	0.1304	0.0	0.1304	2	Ambipom
633	15	0.1338	0.0039	0.1299	2	Swanna
147	11	0.1269	0.0	0.1269	6	Dragonite
1183	3	0.126	0.0	0.126	14	Urshifu-Rapid-Strike
1137	14	0.1266	0.0008	0.1259	3	Cramorant
837	14	0.1287	0.0032	0.1255	3	Zygarde-10%
1195	11	0.128	0.0036	0.1245	6	Baxcalibur
1176	8	0.128	0.0053	0.1227	9	Archaludon
645	14	0.1217	0.0	0.1217	3	Jellicent
948	17	0.1229	0.002	0.121	0	Toucannon
392	15	0.1238	0.003	0.1208	2	Gallade,Gallade-Mega
669	14	0.1325	0.0131	0.1194	3	Accelgor
1017	15	0.1188	0.0	0.1188	2	Necrozma
346	14	0.1318	0.013	0.1188	3	Froslass,Glalie-Mega
534	14	0.1188	0.0014	0.1173	3	Mesprit
682	14	0.1269	0.0099	0.1171	3	Mandibuzz
1113	16	0.1192	0.0036	0.1156	1	Corviknight
777	17	0.1149	0.0	0.1149	0	Florges
1367	2	0.1144	0.0	0.1144	15	Raging Bolt
533	14	0.1166	0.0023	0.1143	3	Uxie
1356	7	0.114	0.0	0.114	10	Ursaluna-Bloodmoon
443	16	0.1219	0.008	0.1139	1	Infernape
1209	17	0.1234	0.0102	0.1132	1	Rapidash-Galar
1025	15	0.1143	0.0055	0.1088	2	Ninetales-Alola
243	17	0.1171	0.01	0.1072	0	Raikou
995	7	0.1068	0.0004	0.1064	10	Mimikyu
1357	8	0.1127	0.0077	0.105	9	Ogerpon
699	7	0.1053	0.0014	0.104	11	Kyurem
1374	2	0.1036	0.0	0.1036	15	Gouging Fire
1359	2	0.1032	0.0	0.1032	15	Ogerpon-Hearthflame
694	2	0.0998	0.0	0.0998	15	Tornadus
1138	15	0.1038	0.0062	0.0976	2	Barraskewda
691	8	0.1163	0.0196	0.0967	9	Cobalion
619	15	0.1013	0.0048	0.0964	2	Archeops
1262	8	0.0949	0.0	0.0949	9	Iron Hands
332	17	0.0948	0.0	0.0948	0	Flygon
1174	8	0.0994	0.0049	0.0945	9	Dracovish
1175	8	0.1004	0.0066	0.0938	9	Arctovish
227	14	0.1037	0.0102	0.0935	3	Skarmory
1237	5	0.0928	0.0	0.0928	12	Great Tusk
939	17	0.0958	0.0035	0.0924	0	Decidueye-Hisui
77	17	0.1045	0.0125	0.0919	1	Rapidash
244	17	0.0943	0.0028	0.0914	0	Entei
380	15	0.0918	0.0012	0.0906	2	Zangoose
504	14	0.0977	0.0087	0.089	3	Drapion
1295	14	0.0945	0.0064	0.0881	3	Electrode-Hisui
1353	14	0.0914	0.0054	0.086	3	Iron Leaves
1370	2	0.085	0.0	0.085	15	Terapagos-Terastal
1232	7	0.0911	0.0069	0.0842	11	Iron Valiant
1271	15	0.0861	0.0037	0.0824	2	Arcanine-Hisui
1012	5	0.0884	0.0072	0.0813	13	Pheromosa
601	15	0.0861	0.0052	0.0809	3	Lilligant-Hisui
470	16	0.1018	0.0216	0.0801	1	Pachirisu
1116	17	0.0873	0.0082	0.0791	0	Orbeetle,Orbeetle-Mega
596	14	0.0911	0.0121	0.079	3	Scolipede
638	14	0.0877	0.0087	0.079	3	Sawsbuck
740	14	0.0877	0.0087	0.079	3	Sawsbuck
145	7	0.084	0.0054	0.0786	10	Zapdos
170	15	0.0848	0.0064	0.0785	2	Lanturn
1015	5	0.0855	0.008	0.0775	12	Kartana
767	11	0.0802	0.0028	0.0774	6	Diggersby
1013	5	0.0773	0.0	0.0773	12	Xurkitree
198	15	0.0851	0.0082	0.0768	2	Honchkrow
1188	7	0.0845	0.0081	0.0764	10	Regieleki
582	16	0.0902	0.0141	0.0761	1	Excadrill
843	16	0.0816	0.006	0.0756	1	Pawmot
603	14	0.0791	0.0038	0.0754	3	Basculin
672	16	0.0811	0.0062	0.0749	1	Mienshao
1101	8	0.0968	0.0226	0.0742	9	Cyclizar
921	16	0.0877	0.0137	0.074	1	Meowscarada
1198	16	0.0817	0.0081	0.0737	2	Toedscruel
927	17	0.0766	0.003	0.0736	0	Quaquaval
386	15	0.0874	0.014	0.0734	3	Volbeat
996	14	0.0783	0.0051	0.0732	3	Bruxish
675	17	0.0746	0.0024	0.0721	0	Golurk
1320	15	0.0877	0.0158	0.0719	2	Espathra
1266	6	0.0827	0.0115	0.0712	11	Spectrier
496	11	0.0723	0.0017	0.0706	6	Garchomp,Garchomp-Mega
37	15	0.0818	0.0115	0.0704	2	Ninetales
592	16	0.0727	0.0029	0.0698	1	Sawk
1334	16	0.0741	0.0045	0.0696	1	Tatsugiri
127	16	0.0761	0.0074	0.0687	1	Pinsir,Pinsir-Mega
356	16	0.0714	0.0027	0.0687	1	Medicham,Medicham-Mega
111	15	0.0725	0.0041	0.0684	2	Rhyperior
373	16	0.0679	0.0001	0.0679	1	Gorebyss
1230	8	0.0705	0.0028	0.0677	9	Iron Thorns
1235	14	0.073	0.0054	0.0676	3	Tauros-Paldea-Aqua
989	5	0.0718	0.006	0.0659	12	Silvally
16	17	0.0738	0.0085	0.0653	0	Pidgeot,Pidgeot-Mega
19	16	0.07	0.0047	0.0653	1	Raticate
123	14	0.0738	0.0088	0.065	3	Kleavor
747	2	0.0696	0.0056	0.064	16	Ting-Lu
251	15	0.0688	0.0054	0.0633	2	Celebi
1135	17	0.0684	0.0052	0.0632	1	Sandaconda,Sandaconda-Mega,Silicobra
277	16	0.0784	0.0161	0.0623	1	Sceptile,Sceptile-Mega
1255	8	0.067	0.0052	0.0618	10	Slither Wing
630	15	0.0617	0.0007	0.0611	2	Reuniclus
668	14	0.0707	0.0096	0.0611	3	Cryogonal
216	16	0.0629	0.0019	0.061	1	Ursaluna
1166	15	0.0641	0.0033	0.0609	2	Stonjourner
861	15	0.0624	0.0028	0.0596	3	Bellibolt,Tadbulb
964	14	0.0591	0.0	0.0591	3	Toxapex
604	16	0.0684	0.0098	0.0586	1	Krookodile
585	16	0.0585	0.0002	0.0583	1	Conkeldurr
640	14	0.0789	0.0211	0.0577	3	Emolga
1375	15	0.0726	0.0159	0.0568	2	Chillet
1347	16	0.0629	0.0064	0.0565	2	Dachsbun
835	16	0.0667	0.011	0.0557	1	Revavroom
811	14	0.0722	0.0165	0.0557	3	Carbink
214	14	0.0603	0.0048	0.0555	3	Heracross,Heracross-Mega
802	14	0.0664	0.0114	0.055	3	Heliolisk
175	15	0.0656	0.0116	0.054	2	Togekiss
318	16	0.0567	0.0035	0.0532	1	Claydol
775	17	0.0632	0.0106	0.0526	1	Pyroar
1372	14	0.066	0.0136	0.0524	3	Pecharunt
761	17	0.0653	0.0131	0.0522	1	Braixen,Delphox
1005	7	0.0528	0.0011	0.0516	11	Tapu Fini
548	17	0.0684	0.0174	0.051	0	Serperior
408	2	0.0507	0.0	0.0507	15	Latios-Mega
564	17	0.0638	0.0139	0.0499	0	Simisage
304	15	0.0692	0.0203	0.049	2	Swellow
1318	16	0.0594	0.0104	0.0489	4	Rabsca
337	14	0.0621	0.0135	0.0485	5	Manectric,Manectric-Mega
575	15	0.065	0.0166	0.0484	3	Zebstrika
663	17	0.049	0.0018	0.0472	0	Haxorus
1349	16	0.0578	0.0108	0.047	2	Mabosstiff
591	16	0.0464	0.0008	0.0456	1	Throh
679	14	0.0511	0.0055	0.0456	3	Bouffalant
1267	7	0.0539	0.0085	0.0455	10	Glastrier
1343	14	0.0545	0.0092	0.0453	3	Glimmora
794	14	0.0543	0.0091	0.0452	3	Malamar
818	16	0.0775	0.0329	0.0447	3	Gourgeist,Pumpkaboo
738	17	0.0598	0.0153	0.0445	1	Deerling,Sawsbuck
739	17	0.0598	0.0153	0.0445	1	Deerling,Sawsbuck
1029	16	0.0626	0.0182	0.0444	1	Persian-Alola
95	16	0.0475	0.0032	0.0442	2	Steelix,Steelix-Mega
1361	16	0.0647	0.0212	0.0434	1	Sinistcha
863	8	0.055	0.0116	0.0434	9	Palafin
401	16	0.0447	0.0014	0.0432	1	Regirock
239	15	0.0501	0.0071	0.043	2	Electivire
390	15	0.0445	0.0018	0.0426	2	Armaldo
784	15	0.0518	0.0092	0.0426	2	Furfrou
74	17	0.0505	0.0081	0.0424	0	Golem
32	16	0.0592	0.0169	0.0422	1	Nidoking
1217	7	0.0444	0.0025	0.0419	11	Articuno-Galar
211	14	0.0504	0.009	0.0415	3	Qwilfish
395	11	0.0515	0.0101	0.0414	6	Salamence,Salamence-Mega
1337	15	0.0569	0.0156	0.0413	3	Bombirdier
215	14	0.0621	0.0211	0.0411	3	Weavile
692	8	0.0462	0.0053	0.0409	9	Terrakion
830	8	0.0448	0.0039	0.0408	11	Volcanion
283	16	0.0468	0.0065	0.0403	1	Swampert,Swampert-Mega
1023	17	0.0546	0.0145	0.0402	0	Sandslash-Alola
693	8	0.0667	0.0265	0.0402	9	Virizion
98	15	0.0461	0.0071	0.039	2	Kingler,Kingler-Mega
92	17	0.0695	0.0308	0.0387	1	Gengar,Gengar-Mega,Haunter
339	17	0.0452	0.0064	0.0387	0	Camerupt,Camerupt-Mega
280	16	0.0465	0.0078	0.0387	1	Blaziken,Blaziken-Mega
706	15	0.0551	0.0172	0.0379	2	Klawf
440	17	0.0426	0.0051	0.0375	0	Torterra
177	17	0.056	0.0189	0.0371	1	Xatu
1162	14	0.0546	0.0177	0.0369	3	Falinks
1142	15	0.0502	0.0141	0.036	3	Centiskorch,Centiskorch-Mega
1125	16	0.0466	0.0113	0.0353	1	Drednaw,Drednaw-Mega
1011	5	0.0371	0.0017	0.0353	13	Buzzwole
983	14	0.0402	0.005	0.0352	3	Passimian
1211	14	0.0386	0.0036	0.035	3	Slowking-Galar
566	16	0.0476	0.0132	0.0343	1	Simisear
290	17	0.0491	0.0152	0.0339	1	Dustox
1102	16	0.0466	0.0128	0.0338	1	Rillaboom
288	16	0.0443	0.011	0.0333	1	Linoone
231	16	0.0365	0.0036	0.0329	1	Donphan
580	16	0.0517	0.0193	0.0324	1	Swoobat
146	7	0.0393	0.0069	0.0324	11	Moltres
820	14	0.0473	0.0154	0.0319	6	Avalugg-Hisui
506	14	0.0428	0.0113	0.0315	3	Toxicroak
695	2	0.0377	0.0079	0.0299	16	Thundurus
559	17	0.0392	0.0094	0.0298	1	Stoutland
945	16	0.0329	0.0033	0.0296	1	Primarina
66	16	0.0354	0.0059	0.0295	2	Machamp,Machamp-Mega
614	15	0.046	0.0168	0.0293	3	Sigilyph
315	14	0.0414	0.0131	0.0283	3	Delcatty
1339	15	0.0369	0.0098	0.0271	2	Flamigo
330	15	0.0391	0.0126	0.0265	2	Carvanha,Sharpedo,Sharpedo-Mega
502	15	0.0326	0.0061	0.0265	2	Hippowdon
161	16	0.035	0.009	0.026	2	Furret
956	15	0.0344	0.0087	0.0257	2	Crabominable
1244	8	0.0317	0.0064	0.0254	9	Sandy Shocks
137	14	0.0324	0.0071	0.0253	3	Porygon-Z
1340	17	0.0348	0.0098	0.025	3	Garganacl
500	16	0.0355	0.0105	0.025	1	Lucario,Lucario-Mega
313	14	0.0329	0.0082	0.0248	5	Wailord
234	14	0.0274	0.0033	0.0241	5	Wyrdeer
1240	14	0.0423	0.0184	0.0238	3	Tauros-Paldea-Blaze
1074	5	0.0344	0.0111	0.0233	12	Naganadel
1146	16	0.0384	0.0163	0.0222	3	Polteageist
129	16	0.0272	0.0055	0.0217	1	Gyarados,Gyarados-Mega
999	11	0.0253	0.0037	0.0216	7	Kommo-o
358	15	0.032	0.011	0.021	2	Altaria,Altaria-Mega
961	17	0.0413	0.0211	0.0202	1	Lycanroc-Dusk
382	14	0.0308	0.0107	0.0201	5	Aggron,Aggron-Mega
680	14	0.0252	0.0052	0.02	3	Braviary-Hisui
974	14	0.0417	0.0221	0.0196	3	Salazzle
966	16	0.0317	0.0123	0.0194	1	Mudsdale
1322	8	0.0222	0.0029	0.0194	9	Dondozo
403	15	0.0251	0.0064	0.0187	2	Registeel
1351	17	0.0459	0.028	0.0179	1	Brambleghast,Bramblin
1189	6	0.0224	0.0048	0.0176	11	Regidrago
27	17	0.029	0.0115	0.0175	0	Sandshrew,Sandslash
599	15	0.0436	0.0262	0.0174	3	Whimsicott
648	17	0.0369	0.0214	0.0155	0	Galvantula,Joltik
369	14	0.037	0.0221	0.0149	3	Tropius
1127	15	0.0369	0.0221	0.0148	2	Boltund
1123	16	0.0299	0.0153	0.0146	3	Dubwool
140	15	0.0324	0.0177	0.0146	2	Kabutops
1003	6	0.0226	0.0085	0.0141	13	Tapu Lele
88	16	0.0238	0.0099	0.0139	1	Muk
607	14	0.0213	0.0074	0.0139	3	Darmanitan
54	16	0.0246	0.0109	0.0137	3	Golduck
158	17	0.0189	0.0052	0.0136	1	Feraligatr
736	14	0.0191	0.0057	0.0134	3	Basculegion,Basculegion-F
29	16	0.0354	0.0221	0.0133	1	Nidoqueen
855	16	0.0483	0.035	0.0132	3	Gourgeist,Pumpkaboo
240	15	0.0305	0.0175	0.013	2	Magmortar
1172	8	0.0338	0.0209	0.0129	9	Dracozolt
758	17	0.0212	0.0086	0.0127	0	Chesnaught
308	8	0.0274	0.0147	0.0127	9	Spinda
446	17	0.0207	0.0082	0.0124	0	Empoleon
1280	14	0.0375	0.0251	0.0124	4	Zoroark-Hisui
1004	17	0.0237	0.012	0.0117	0	Tapu Bulu
547	8	0.0224	0.0109	0.0115	9	Victini
1345	16	0.0376	0.0262	0.0114	1	Grafaiai
86	14	0.0229	0.012	0.011	3	Dewgong
23	17	0.0293	0.0187	0.0106	1	Arbok
228	16	0.0263	0.0163	0.0099	3	Houndoom,Houndoom-Mega
246	11	0.0212	0.0116	0.0096	6	Tyranitar,Tyranitar-Mega
800	15	0.0194	0.0102	0.0091	2	Clawitzer
100	14	0.0322	0.0238	0.0084	5	Electrode
63	17	0.0212	0.0129	0.0083	0	Alakazam,Alakazam-Mega
341	14	0.0202	0.012	0.0082	3	Walrein
361	14	0.0219	0.0139	0.008	3	Dusknoir
666	17	0.0172	0.0097	0.0074	0	Beartic
782	17	0.0203	0.0129	0.0074	2	Pangoro
348	16	0.0208	0.0134	0.0074	2	Lunatone
785	17	0.0275	0.0202	0.0073	0	Meowstic-F
1316	16	0.0349	0.028	0.0069	1	Lokix
449	17	0.0198	0.0131	0.0067	1	Staraptor
816	16	0.021	0.0143	0.0067	2	Trevenant
551	16	0.0156	0.009	0.0066	1	Emboar
220	16	0.0244	0.0179	0.0065	1	Mamoswine
1083	8	0.011	0.0049	0.0061	10	Melmetal
193	16	0.0362	0.0305	0.0057	1	Yanmega
976	15	0.0144	0.0087	0.0057	2	Bewear
138	15	0.0164	0.0109	0.0055	2	Omastar
674	8	0.0114	0.006	0.0055	9	Druddigon
625	14	0.0214	0.0163	0.0052	3	Cinccino
335	16	0.0141	0.01	0.0041	1	Hariyama
1307	8	0.0128	0.0094	0.0034	14	Overqwil
1366	7	0.0156	0.0122	0.0034	12	Okidogi
981	14	0.0212	0.0182	0.003	5	Comfey
473	15	0.0231	0.0206	0.0025	3	Cherrim,Cherubi
1140	14	0.0265	0.0241	0.0024	3	Toxtricity-Low-Key,Toxtricity-Mega
1323	15	0.0188	0.0169	0.0019	3	Veluza
1014	5	0.0091	0.0075	0.0017	12	Celesteela
152	17	0.0198	0.0188	0.0011	0	Meganium
1027	16	0.035	0.0339	0.0011	1	Dugtrio-Alola
677	16	0.0176	0.0172	0.0004	2	Kingambit
7	16	0.0135	0.0132	0.0003	1	Blastoise,Blastoise-Mega
959	16	0.0259	0.026	-0.0001	3	Ribombee
635	14	0.0246	0.0248	-0.0002	3	Vanilluxe
554	16	0.0163	0.0166	-0.0003	2	Dewott,Samurott-Hisui
953	17	0.0113	0.0117	-0.0004	1	Vikavolt
998	8	0.0203	0.0208	-0.0005	9	Dhelmise
859	17	0.0183	0.0191	-0.0007	0	Houndstone
660	14	0.0228	0.0236	-0.0008	3	Chandelure
172	17	0.0221	0.0238	-0.0017	2	Raichu-Alola
1338	15	0.0216	0.0234	-0.0018	3	Squawkabilly
1355	15	0.0216	0.0234	-0.0018	3	Squawkabilly-White
1231	1	-0.0013	0.0006	-0.0019	never	Iron Bundle
114	14	0.0108	0.0128	-0.002	4	Tangrowth
994	14	0.0337	0.0364	-0.0027	3	Togedemaru
978	15	0.0162	0.0196	-0.0034	3	Tsareena
349	16	0.009	0.0131	-0.0041	2	Solrock
478	15	0.0198	0.0241	-0.0042	2	Drifblim
535	14	0.0175	0.0223	-0.0048	7	Azelf
827	14	0.0091	0.0139	-0.0048	5	Diancie,Diancie-Mega
588	16	0.0074	0.0124	-0.005	1	Seismitoad
610	16	0.003	0.0095	-0.0065	1	Crustle
970	14	0.0173	0.0246	-0.0072	4	Lurantis
1330	16	0.0098	0.0177	-0.0079	1	Maushold
381	14	0.0016	0.0101	-0.0086	3	Relicanth
1010	5	0.0065	0.017	-0.0105	14	Nihilego
1187	14	0.008	0.0194	-0.0114	3	Calyrex
1119	15	0.0162	0.0281	-0.0119	3	Thievul
812	14	-0.0029	0.0097	-0.0125	5	Goodra-Hisui
1247	8	0.0027	0.0152	-0.0125	11	Iron Moth
165	17	0.0137	0.0267	-0.013	0	Ledian
223	14	-0.0013	0.0117	-0.013	5	Octillery
131	11	-0.0037	0.0106	-0.0143	7	Lapras,Lapras-Mega
79	14	-0.0035	0.0109	-0.0144	5	Slowbro-Mega,Slowking
1365	7	-0.0011	0.0134	-0.0144	11	Munkidori
402	14	0.0006	0.0153	-0.0147	4	Regice
1034	17	-0.0035	0.0135	-0.017	1	Muk-Alola
311	17	0.0006	0.0179	-0.0173	0	Masquerain
1020	16	0.0046	0.022	-0.0174	3	Raticate-Alola
577	16	-0.0024	0.0152	-0.0176	8	Gigalith
1170	16	-0.0025	0.0158	-0.0184	2	Copperajah,Copperajah-Mega
492	14	0.007	0.0262	-0.0192	3	Mr. Mime-Galar
461	16	-0.0063	0.0133	-0.0195	1	Rampardos
792	15	0.0026	0.0221	-0.0195	3	Slurpuff
854	16	0.0186	0.0384	-0.0198	3	Gourgeist,Pumpkaboo
1222	16	0.0106	0.031	-0.0204	1	Linoone-Galar
60	14	-0.0042	0.0168	-0.021	3	Politoed
209	16	-0.0036	0.0177	-0.0212	5	Granbull
115	8	-0.0002	0.0217	-0.0219	9	Kangaskhan-Mega
377	17	-0.0043	0.0179	-0.0222	4	Banette,Banette-Mega
116	15	-0.0028	0.0199	-0.0227	3	Kingdra,Seadra
398	11	-0.0108	0.0122	-0.023	6	Metagross,Metagross-Mega
984	15	-0.0065	0.0176	-0.0241	2	Golisopod
50	16	0.0099	0.0341	-0.0242	1	Dugtrio
1	17	0.003	0.0274	-0.0244	3	Bulbasaur,Venusaur,Venusaur-Mega
354	14	0.0052	0.0304	-0.0252	3	Minun
52	16	-0.0018	0.0238	-0.0256	1	Persian
787	11	-0.0063	0.0194	-0.0257	6	Aegislash-Shield
1151	17	-0.0025	0.0233	-0.0258	0	Grimmsnarl
1229	15	-0.0093	0.0204	-0.0297	3	Stunfisk-Galar
1225	7	-0.0064	0.0235	-0.0299	10	Darmanitan-Galar
655	14	-0.0138	0.0162	-0.03	5	Eelektross
689	11	-0.0118	0.0186	-0.0304	8	Volcarona
991	14	-0.0141	0.0166	-0.0307	6	Minior-Meteor
487	16	-0.0103	0.0209	-0.0312	1	Skuntank
828	6	-0.009	0.0224	-0.0314	13	Hoopa
83	15	-0.0054	0.0268	-0.0322	2	Farfetch’d
1163	14	-0.0146	0.0191	-0.0337	3	Pincurchin
804	15	-0.0172	0.0169	-0.0341	2	Tyrantrum
320	14	-0.0189	0.0153	-0.0342	5	Probopass
1031	17	-0.013	0.0213	-0.0343	0	Golem-Alola
972	16	-0.011	0.0239	-0.0348	5	Shiinotic
621	15	-0.0158	0.019	-0.0348	2	Garbodor,Garbodor-Mega
323	14	-0.0164	0.0187	-0.0351	6	Whiscash
924	16	-0.0168	0.0194	-0.0362	2	Skeledirge
750	2	-0.0074	0.0295	-0.037	16	Chi-Yu
615	16	-0.0169	0.0206	-0.0375	3	Cofagrigus
930	17	-0.006	0.0324	-0.0384	1	Clodsire
711	16	-0.0169	0.024	-0.0409	1	Gastrodon
612	16	-0.0204	0.0209	-0.0413	1	Scrafty
1160	15	-0.0081	0.0333	-0.0414	3	Alcremie,Alcremie-Mega,Milcery
562	15	-0.0127	0.0305	-0.0432	3	Liepard
1234	8	-0.0244	0.0198	-0.0442	14	Tauros-Paldea-Combat
459	16	-0.0114	0.0329	-0.0443	1	Roserade
379	15	-0.0219	0.0226	-0.0445	2	Seviper
982	14	-0.0272	0.018	-0.0453	5	Oranguru
545	15	-0.0256	0.0201	-0.0457	7	Shaymin
684	14	-0.0176	0.0309	-0.0485	4	Heatmor
236	16	-0.0192	0.0301	-0.0493	2	Hitmontop
475	15	-0.0239	0.0256	-0.0495	3	Gastrodon
206	16	-0.0292	0.0205	-0.0496	1	Dudunsparce
90	16	-0.0252	0.0249	-0.0501	1	Cloyster,Shellder
617	15	-0.0285	0.0216	-0.0501	5	Carracosta
806	15	-0.0257	0.0245	-0.0502	2	Aurorus
1219	7	-0.02	0.0302	-0.0502	11	Moltres-Galar
108	15	-0.0312	0.0196	-0.0508	8	Lickilicky
133	15	-0.024	0.0271	-0.0511	3	Sylveon
494	14	-0.0147	0.0366	-0.0513	4	Chatot
499	11	-0.0237	0.0282	-0.0519	8	Munchlax,Snorlax,Snorlax-Mega
532	11	-0.0063	0.0461	-0.0524	6	Rotom
992	15	-0.0332	0.0194	-0.0526	2	Komala
584	15	-0.0182	0.0347	-0.0529	2	Audino,Audino-Mega
593	16	-0.0101	0.0432	-0.0533	1	Leavanny
179	17	-0.029	0.0251	-0.0541	2	Ampharos,Ampharos-Mega
96	15	-0.0291	0.0255	-0.0546	2	Hypno
1121	15	-0.0267	0.0279	-0.0547	3	Eldegoss
846	16	-0.0331	0.0229	-0.056	1	Oinkologne-F
1129	16	-0.0327	0.0234	-0.0562	1	Coalossal,Coalossal-Mega
298	16	-0.032	0.0243	-0.0563	3	Shiftry
1329	14	-0.0302	0.0277	-0.0579	3	Orthworm
942	17	-0.0283	0.0305	-0.0587	1	Incineroar
306	16	-0.031	0.029	-0.06	1	Breloom
81	16	-0.0358	0.0245	-0.0603	1	Magnezone
1332	16	-0.0351	0.0259	-0.0609	2	Cetitan
932	15	-0.024	0.0371	-0.0611	2	Wugtrio
118	14	-0.0323	0.0299	-0.0621	3	Seaking
993	14	-0.0325	0.0311	-0.0636	4	Turtonator
650	14	-0.0371	0.0269	-0.064	4	Ferrothorn
225	14	-0.025	0.0403	-0.0653	3	Delibird
454	16	-0.0298	0.0371	-0.0669	1	Kricketune
1164	15	-0.0367	0.0303	-0.067	4	Frosmoth
790	15	-0.0424	0.0248	-0.0672	8	Aromatisse
968	14	-0.0413	0.0293	-0.0705	4	Araquanid
1111	16	-0.0461	0.0253	-0.0714	5	Greedent
557	17	-0.0407	0.0308	-0.0715	3	Watchog
512	17	-0.0417	0.0308	-0.0725	1	Abomasnow,Abomasnow-Mega
780	17	-0.0397	0.0346	-0.0743	3	Gogoat
1144	14	-0.0445	0.0303	-0.0748	7	Grapploct
641	15	-0.047	0.0317	-0.0787	4	Escavalier
204	15	-0.0514	0.0281	-0.0795	2	Forretress
326	16	-0.046	0.0336	-0.0796	2	Crawdaunt
109	17	-0.0482	0.0333	-0.0815	0	Weezing-Galar
173	16	-0.0481	0.0339	-0.082	1	Clefable,Clefairy
104	14	-0.0502	0.0346	-0.0847	4	Marowak-Alola
1132	17	-0.0519	0.0328	-0.0848	7	Hydrapple
997	14	-0.0505	0.0343	-0.0848	4	Drampa
796	17	-0.048	0.037	-0.0849	1	Barbaracle
167	17	-0.045	0.042	-0.087	0	Ariados
350	14	-0.0576	0.0322	-0.0897	7	Azumarill,Marill
986	17	-0.0544	0.0358	-0.0902	0	Palossand
623	14	-0.0506	0.0397	-0.0903	4	Zoroark
309	17	-0.0544	0.0376	-0.092	0	Pelipper
