trainer_id	name	trainer_class	role	location	mode	cap_index	cap_name	level_cap	is_level_scaled	boss_key	party_size	roster	roster_species	max_level	min_level	offensive_types	mean_base_speed	fastest_member	slowest_member	shared_weaknesses	team_resisted_by	strategy_notes	source_record	confidence	notes
7	Friendly Teacher	NA	boss_candidate	Viridian City Trainer School	normal	0	Brock	15	FALSE	0|Viridian City Trainer School|Friendly Teacher	6	Shedinja:100:100:UNK:Focus Sash:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:X-Scissor,Shadow Sneak|Shedinja:100:100:UNK:Focus Sash:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:X-Scissor,Shadow Sneak|Shedinja:100:100:UNK:Focus Sash:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Shadow Sneak,X-Scissor|Shedinja:100:100:UNK:Focus Sash:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:X-Scissor,Shadow Sneak|Shedinja:100:100:UNK:Focus Sash:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Shadow Sneak,X-Scissor|Shedinja:100:100:UNK:Heavy-Duty Boots:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Shadow Sneak,X-Scissor	Shedinja,Shedinja,Shedinja,Shedinja,Shedinja,Shedinja	100	100	Bug,Ghost	40.0	Shedinja	Shedinja	Flying,Rock,Ghost,Fire,Dark	NONE	6 slots, levels 100-100. Offense covers 2 types. Shared weakness: Flying, Rock, Ghost, Fire, Dark. Speed spans 40-40 base, fastest Shedinja, slowest Shedinja.	data.js:trainers[7].normal	Measured	derived: team analysis; strategy_notes Inferred
7	Friendly Teacher	NA	boss_candidate	Viridian City Trainer School	hardcore	0	Brock	15	FALSE	0|Viridian City Trainer School|Friendly Teacher	6	Shedinja:100:100:UNK:Focus Sash:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:X-Scissor,Shadow Sneak|Shedinja:100:100:UNK:Focus Sash:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:X-Scissor,Shadow Sneak|Shedinja:100:100:UNK:Focus Sash:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Shadow Sneak,X-Scissor|Shedinja:100:100:UNK:Focus Sash:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:X-Scissor,Shadow Sneak|Shedinja:100:100:UNK:Focus Sash:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Shadow Sneak,X-Scissor|Shedinja:100:100:UNK:Heavy-Duty Boots:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Shadow Sneak,X-Scissor	Shedinja,Shedinja,Shedinja,Shedinja,Shedinja,Shedinja	100	100	Bug,Ghost	40.0	Shedinja	Shedinja	Flying,Rock,Ghost,Fire,Dark	NONE	6 slots, levels 100-100. Offense covers 2 types. Shared weakness: Flying, Rock, Ghost, Fire, Dark. Speed spans 40-40 base, fastest Shedinja, slowest Shedinja.	data.js:trainers[7].hardcore	Measured	derived: team analysis; strategy_notes Inferred
8	Leader Bugsy	NA	boss_candidate	Route 25	normal	4	Erika	44	TRUE	4|Route 25|Leader Bugsy	6	Kleavor:44:103:Sharpness:Focus Sash:Jolly:31/31/31/31/31/31:0/252/4/0/0/252:Stone Axe,Night Slash,U-turn,X-Scissor|Scizor:44:103:Swarm:Scizorite:Careful:31/31/31/31/31/31:252/252/4/0/0/0:Bullet Punch,Dual Wingbeat,U-turn,Rock Smash|Scyther:44:103:Swarm:Eviolite:Adamant:31/31/31/31/31/31:0/252/4/0/0/252:Swords Dance,Dual Wingbeat,Bug Bite,Rock Smash|Lokix:44:103:Swarm:SilverPowder:Jolly:31/31/31/31/31/31:0/252/4/0/0/252:Sucker Punch,First Impression,Knock Off,U-turn|Araquanid:44:103:Water Absorb:Leftovers:Impish:31/31/31/31/31/31:252/4/252/0/0/0:X-Scissor,Liquidation,Protect,Toxic|Vikavolt:44:103:UNK:Magnet:Modest:31/31/31/31/31/31:252/0/4/252/0/0:Thunder,Bug Buzz,Volt Switch,Energy Ball	Kleavor,Scizor,Scyther,Lokix,Araquanid,Vikavolt	44	44	Fighting,Flying,Rock,Bug,Steel,Water,Grass,Electric,Dark	72.0	Scyther	Araquanid	Rock,Fire,Flying	NONE	6 slots, levels 44-44. Offense covers 9 types. Shared weakness: Rock, Fire, Flying. Speed spans 42-105 base, fastest Scyther, slowest Araquanid. LEVEL-SCALED: rescales to the player, excluded from scoring.	data.js:trainers[8].normal	Measured	derived: team analysis; strategy_notes Inferred
8	Leader Bugsy	NA	boss_candidate	Route 25	hardcore	4	Erika	44	TRUE	4|Route 25|Leader Bugsy	6	Kleavor:44:103:Sharpness:Focus Sash:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:Stone Axe,X-Scissor,U-turn,Night Slash|Scizor:44:103:Swarm:Scizorite:Careful:31/31/31/31/31/31:0/0/0/0/0/0:Bullet Punch,Dual Wingbeat,U-turn,Rock Smash|Scyther:44:103:Swarm:Eviolite:Adamant:31/31/31/31/31/31:0/0/0/0/0/0:Swords Dance,Dual Wingbeat,Bug Bite,Rock Smash|Lokix:44:103:Swarm:Bug Gem:Jolly:31/31/31/31/31/31:0/0/0/0/0/0:First Impression,U-turn,Knock Off,Sucker Punch|Araquanid:44:103:Water Absorb:Leftovers:Impish:31/31/31/31/31/31:0/0/0/0/0/0:X-Scissor,Liquidation,Protect,Toxic|Vikavolt:44:103:UNK:Magnet:Modest:31/31/31/31/31/31:0/0/0/0/0/0:Thunder,Bug Buzz,Volt Switch,Energy Ball	Kleavor,Scizor,Scyther,Lokix,Araquanid,Vikavolt	44	44	Fighting,Flying,Rock,Bug,Steel,Water,Grass,Electric,Dark	72.0	Scyther	Araquanid	Rock,Fire,Flying	NONE	6 slots, levels 44-44. Offense covers 9 types. Shared weakness: Rock, Fire, Flying. Speed spans 42-105 base, fastest Scyther, slowest Araquanid. LEVEL-SCALED: rescales to the player, excluded from scoring.	data.js:trainers[8].hardcore	Measured	derived: team analysis; strategy_notes Inferred
9	Friendly Coach	NA	boss_candidate	Lavender Town EXP Farm	normal	3	Surge	34	FALSE	3|Lavender Town EXP Farm|Friendly Coach	6	Jumpluff:1:1:Aerilate:NONE:Modest:31/31/31/31/31/31:6/0/0/252/252/0:Memento|Jumpluff:1:1:Chlorophyll:NONE:Lax:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Jumpluff:1:1:Aerilate:NONE:Quiet:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Jumpluff:1:1:Chlorophyll:NONE:Brave:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Jumpluff:1:1:Aerilate:NONE:Timid:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Jumpluff:1:1:Chlorophyll:NONE:Calm:10/10/10/10/10/10:0/0/0/0/0/0:Memento	Jumpluff,Jumpluff,Jumpluff,Jumpluff,Jumpluff,Jumpluff	1	1	NONE	110.0	Jumpluff	Jumpluff	Flying,Poison,Rock,Fire,Ice	NONE	6 slots, levels 1-1. Offense covers 0 types. Shared weakness: Flying, Poison, Rock, Fire, Ice. Speed spans 110-110 base, fastest Jumpluff, slowest Jumpluff.	data.js:trainers[9].normal	Measured	derived: team analysis; strategy_notes Inferred
9	Friendly Coach	NA	boss_candidate	Lavender Town EXP Farm	hardcore	3	Surge	34	FALSE	3|Lavender Town EXP Farm|Friendly Coach	6	Jumpluff:1:1:Aerilate:NONE:Modest:31/31/31/31/31/31:0/0/0/0/0/0:Memento|Jumpluff:1:1:Chlorophyll:NONE:Lax:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Jumpluff:1:1:Aerilate:NONE:Quiet:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Jumpluff:1:1:Chlorophyll:NONE:Brave:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Jumpluff:1:1:Aerilate:NONE:Timid:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Jumpluff:1:1:Chlorophyll:NONE:Calm:10/10/10/10/10/10:0/0/0/0/0/0:Memento	Jumpluff,Jumpluff,Jumpluff,Jumpluff,Jumpluff,Jumpluff	1	1	NONE	110.0	Jumpluff	Jumpluff	Flying,Poison,Rock,Fire,Ice	NONE	6 slots, levels 1-1. Offense covers 0 types. Shared weakness: Flying, Poison, Rock, Fire, Ice. Speed spans 110-110 base, fastest Jumpluff, slowest Jumpluff.	data.js:trainers[9].hardcore	Measured	derived: team analysis; strategy_notes Inferred
10	Friendly Coach	NA	boss_candidate	Lavender Town EXP Farm	normal	3	Surge	34	FALSE	3|Lavender Town EXP Farm|Friendly Coach	6	Stoutland:1:1:Scrappy:NONE:Modest:31/31/31/31/31/31:6/0/0/252/252/0:Memento|Stoutland:1:1:Intimidate:NONE:Bold:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Stoutland:1:1:Scrappy:NONE:Hasty:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Stoutland:1:1:Intimidate:NONE:Rash:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Stoutland:1:1:Scrappy:NONE:Hardy:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Stoutland:1:1:Intimidate:NONE:Impish:10/10/10/10/10/10:0/0/0/0/0/0:Memento	Stoutland,Stoutland,Stoutland,Stoutland,Stoutland,Stoutland	1	1	NONE	80.0	Stoutland	Stoutland	Fighting	NONE	6 slots, levels 1-1. Offense covers 0 types. Shared weakness: Fighting. Speed spans 80-80 base, fastest Stoutland, slowest Stoutland.	data.js:trainers[10].normal	Measured	derived: team analysis; strategy_notes Inferred
10	Friendly Coach	NA	boss_candidate	Lavender Town EXP Farm	hardcore	3	Surge	34	FALSE	3|Lavender Town EXP Farm|Friendly Coach	6	Stoutland:1:1:Scrappy:NONE:Modest:31/31/31/31/31/31:0/0/0/0/0/0:Memento|Stoutland:1:1:Intimidate:NONE:Bold:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Stoutland:1:1:Scrappy:NONE:Hasty:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Stoutland:1:1:Intimidate:NONE:Rash:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Stoutland:1:1:Scrappy:NONE:Hardy:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Stoutland:1:1:Intimidate:NONE:Impish:10/10/10/10/10/10:0/0/0/0/0/0:Memento	Stoutland,Stoutland,Stoutland,Stoutland,Stoutland,Stoutland	1	1	NONE	80.0	Stoutland	Stoutland	Fighting	NONE	6 slots, levels 1-1. Offense covers 0 types. Shared weakness: Fighting. Speed spans 80-80 base, fastest Stoutland, slowest Stoutland.	data.js:trainers[10].hardcore	Measured	derived: team analysis; strategy_notes Inferred
11	Friendly Coach	NA	boss_candidate	Lavender Town EXP Farm	normal	3	Surge	34	FALSE	3|Lavender Town EXP Farm|Friendly Coach	6	Coalossal:1:1:Flash Fire:NONE:Careful:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Coalossal:1:1:Steam Engine:NONE:Relaxed:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Coalossal:1:1:Flash Fire:NONE:Naive:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Coalossal:1:1:Steam Engine:NONE:Careful:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Coalossal:1:1:Flash Fire:NONE:Bold:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Coalossal:1:1:Steam Engine:NONE:Naive:10/10/10/10/10/10:0/0/0/0/0/0:Memento	Coalossal,Coalossal,Coalossal,Coalossal,Coalossal,Coalossal	1	1	NONE	30.0	Coalossal	Coalossal	Fighting,Ground,Rock,Water	NONE	6 slots, levels 1-1. Offense covers 0 types. Shared weakness: Fighting, Ground, Rock, Water. Speed spans 30-30 base, fastest Coalossal, slowest Coalossal.	data.js:trainers[11].normal	Measured	derived: team analysis; strategy_notes Inferred
11	Friendly Coach	NA	boss_candidate	Lavender Town EXP Farm	hardcore	3	Surge	34	FALSE	3|Lavender Town EXP Farm|Friendly Coach	6	Coalossal:1:1:Flash Fire:NONE:Careful:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Coalossal:1:1:Steam Engine:NONE:Relaxed:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Coalossal:1:1:Flash Fire:NONE:Naive:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Coalossal:1:1:Steam Engine:NONE:Careful:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Coalossal:1:1:Flash Fire:NONE:Bold:10/10/10/10/10/10:0/0/0/0/0/0:Memento|Coalossal:1:1:Steam Engine:NONE:Naive:10/10/10/10/10/10:0/0/0/0/0/0:Memento	Coalossal,Coalossal,Coalossal,Coalossal,Coalossal,Coalossal	1	1	NONE	30.0	Coalossal	Coalossal	Fighting,Ground,Rock,Water	NONE	6 slots, levels 1-1. Offense covers 0 types. Shared weakness: Fighting, Ground, Rock, Water. Speed spans 30-30 base, fastest Coalossal, slowest Coalossal.	data.js:trainers[11].hardcore	Measured	derived: team analysis; strategy_notes Inferred
